Sub * SUBJ SUBJ !«œ»Ì« !
W * N N,SING,COM  Ê÷ÌÕ
W * DELM DELM :
W * N N,SING,SURN «” «œ
W * N N,SING,PR,GEN «Õ„œ
W * N N,SING,PR,GEN ê·çÌ‰
W * CON CON ﬂÂ
W * N N,SING,COM,GEN ÕÌ« 
W * ADJ ADJ,SIM,GEN Å—»«—
W * PRO PRO,R,XOD ŒÊœ
W * RA RA —«
W * ADV ADV,GENR,SIM Ìﬂ”—Â
W * P P œ—
W * N N,SING,COM,GEN ⁄—’ÂÒ
W * N N,PL,COM,GEN  ÕﬁÌﬁ« 
W * ADJ ADJ,SIM,GEN «—“‰œÂÒ
W * ADJ ADJ,SIM «œ»Ì
W * CON CON Ê
W * N N,SING,COM,GEN «‰Ã«„
W * N N,SING,COM,GEN ﬂ«—
W * N N,SING,COM ›Â—”  ‰ê«—Ì
W * CON CON Ê
W * N N,SING,COM  ’ÕÌÕ
W * CON CON Ê
W * N N,SING,COM,GEN  œÊÌ‰
W * N N,SING,COM  –ﬂ—Â ‰ÊÌ”Ì
W * CON CON Ê
W * N N,SING,COM,GEN „⁄—›Ì
W * N N,PL,COM,GEN »“—ê«‰
W * N N,SING,COM ‘⁄—
W * CON CON Ê
W * N N,SING,COM,GEN «œ»
W * N N,SING,LOC,PR «Ì—«‰
W * N N,SING,LOC “„Ì‰
W * CON CON Ê
W * ADV ADV,GENR,SIM »Â Œ’Ê’
W * N N,SING,LOC,GEN ‘»Â ﬁ«—ÂÒ
W * N N,SING,LOC,PR Â‰œ
W * N N,SING,COM ”Å—Ì
W * V V,PA,SIM,POS,3 ﬂ—œ
W * DELM DELM °
W * ADV ADV,GENR,SIM ”—«‰Ã«„
W * P P »«
W * P P »—
W * N N,SING,COM Ã«Ì
W * N N,SING,NFL,GEN ê–«—œ‰
W * N N,PL,COM,INDF ¬À«—Ì
W * ADJ ADJ,SIM „«‰œê«—
W * CON CON Ê
W * N N,PL,COM,INDF  √·Ì›« Ì
W * ADJ ADJ,SIM ”—‘«—
W * P P «“
W * N N,PL,COM,GEN „ÿ«·»
W * ADJ ADJ,SIM ⁄„Ìﬁ
W * CON CON Ê
W * ADJ ADJ,SIM ”Êœ„‰œ
W * P P »Â
W * N N,SING,COM,GEN œÌ«—
W * ADJ ADJ,SIM »«ﬁÌ
W * V V,PA,SIM,POS,3 ‘ «› 
W * CON CON Ê
W * P P œ—
W * N N,SING,COM,GEN ’›
W * N N,PL,COM,GEN ‰«„œ«—«‰
W * N N,SING,COM ›ﬂ—
W * CON CON Ê
W * N N,SING,COM ›—Â‰ê
W * CON CON Ê
