Sub * SUBJ SUBJ !é‰ Ìò!
W * N N,SING,LOC,PR  Â—«‰
W * DELM DELM -
W * N N,SING,COM,GEN Ê«Õœ
W * ADJ ADJ,SIM,GEN „—ﬂ“Ì
W * N N,SING,COM Œ»—
W * DELM DELM :
W * N N,PL,COM,GEN ÅéÊÂ‘ê—«‰
W * ADJ ADJ,SIM «‰ê·Ì”Ì
W * P P »«
W * N N,SING,COM «” ›«œÂ
W * P P «“
W * ADJ ADJ,SIM,GEN „Â‰œ”Ì
W * N N,SING,COM é‰ Ìﬂ
W * DELM DELM °
W * N N,SING,COM,INDF êÌ«ÂÌ
W * V V,PA,NAR,POS,6 ”«Œ Â «‰œ
W * CON CON ﬂÂ
W * P P »—
W * N N,SING,COM,GEN «À—
W * N N,SING,COM ·„”
W * N N,SING,NFL ﬂ—œ‰
W * ADJ ADJ,SIM œ—Œ‘«‰
W * V V,PRS,POS,3 „Ì ‘Êœ
W * DELM DELM .
W * DET DET «Ì‰
W * N N,SING,COM Ì«› Â
W * V V,PRS,POS,3 „Ì  Ê«‰œ
W * P P »Â
W * N N,SING,COM,GEN œ—ﬂ
W * DET DET «Ì‰
W * N N,SING,COM ‰ﬂ Â
W * CON CON ﬂÂ
W * ADV ADV,I çêÊ‰Â
W * N N,SING,COM êÌ«Â
W * P P »Â
W * N N,SING,COM ·„”
W * N N,SING,NFL ﬂ—œ‰
W * CON CON Ê
W * N N,SING,COM ‰Ê«“‘
W * N N,SING,COM Ê«ﬂ‰‘
W * N N,SING,COM ‰‘«‰
W * V V,PRS,POS,3 „Ì œÂœ
W * N N,SING,COM ﬂ„ﬂ
W * V V,SUB,POS,3 ﬂ‰œ
W * DELM DELM .
W * N N,SING,SURN œﬂ —
W * N N,SING,PR »—«„
W * DELM DELM °
W * N N,SING,COM,GEN „ Œ’’
W * N N,SING,COM,GEN é‰ Ìﬂ
W * N N,PL,COM êÌ«Â«‰
W * CON CON Ê
W * N N,PL,COM,AFF,3 Â„ﬂ«—«‰‘
W * P P «“
W * N N,SING,LOC,GEN œ«‰‘ê«Â
W * N N,SING,PR —«Ì”
W * P P œ—
W * N N,SING,LOC,PR  ê“«”
W * DELM DELM °
W * N N,PL,TIME ”«·Â«
W * ADJ ADJ,SIM ÅÌ‘
W * ADJ ADJ,SIM „ ÊÃÂ
W * V V,PA,SIM,POS,6 ‘œ‰œ
W * CON CON ﬂÂ
W * P P œ—
W * N N,PL,COM êÌ«Â«‰
W * N N,SING,COM,INDF é‰Ì
W * N N,SING,COM ÊÃÊœ
W * V V,PRS,POS,3 œ«—œ
W * CON CON ﬂÂ
W * P P œ—
W * N N,SING,COM,GEN »—«»—
W * N N,SING,COM,GEN  Õ—Ìﬂ
W * ADJ ADJ,SIM  „«”Ì
W * N N,SING,COM Å«”Œ
W * V V,PRS,POS,3 „Ì œÂœ
W * CON CON Ê
W * N N,SING,COM,GEN „ÊÃ»
W * N N,SING,COM,GEN  €ÌÌ—
W * N N,SING,COM,GEN ›Ì“ÌÊ·ÊéÌ
W * N N,SING,COM êÌ«Â
W * V V,PRS,POS,3 „Ì ‘Êœ
W * DELM DELM .
W * N N,SING,SURN œﬂ —
W * N N,SING,PR »—«„
W * V V,PRS,POS,3 „Ì êÊÌœ
W * DELM DELM :
W * ADV ADV,GENR,TIME  «ﬂ‰Ê‰
W * N N,PL,COM,GEN  ÕﬁÌﬁ« 
W * ADJ ADJ,SIM,INDF “Ì«œÌ
W * P P,GEN »—«Ì
W * N N,SING,COM,GEN ›Â„
W * N N,SING,COM,GEN ⁄„·ﬂ—œ
W * DET DET «Ì‰
W * N N,PL,COM é‰Â«
W * N N,SING,COM «‰Ã«„
W * ADJ ADJ,INO ‘œÂ
W * V V,PRE,SIM «” 
W * CON CON Ê
W * P P,GEN »—«Ì
W * ADJ ADJ,ORD «Ê·Ì‰
W * N N,SING,COM »«—
W * P P »«
W * N N,SING,COM «” ›«œÂ
W * P P «“
W * ADJ ADJ,SIM,GEN „Â‰œ”Ì
W * N N,SING,COM é‰ Ìﬂ
W * N N,SING,COM,GEN  √ÀÌ—
W * N N,SING,COM,GEN  Õ—Ìﬂ
W * ADJ ADJ,SIM  „«”Ì
W * P P œ—
W * N N,SING,COM êÌ«Â
W * DELM DELM °
W * P P »Â
W * N N,SING,COM,GEN ÿÊ—
W * ADJ ADJ,SIM ⁄Ì‰Ì
W * N N,SING,COM „‘«ÂœÂ
W * V V,PA,SIM,POS,3 ‘œ
W * DELM DELM .
W * N N,SING,COM,GEN ê—ÊÂ
W * ADJ ADJ,SIM,GEN  ÕﬁÌﬁ« Ì
W * N N,SING,SURN œﬂ —
W * N N,SING,PR »—«„
W * P P »«
W * N N,SING,COM,GEN »——”Ì
W * N N,SING,COM,GEN é‰ Ìﬂ
W * N N,SING,COM,GEN êÌ«Â
W * N N,SING,COM Œ—œ·
W * ADJ ADJ,SIM „Ê›ﬁ
W * V V,PA,SIM,POS,6 ‘œ‰œ
W * CON CON ﬂÂ
W * N N,SING,COM ‰Ê—«›‘«‰Ì
W * RA RA —«
W * P P œ—
W * N N,SING,COM,GEN «À—
W * N N,SING,COM,GEN  Õ—Ìﬂ
W * N N,SING,COM  „«”
W * P P œ—
W * DET DET «Ì‰
W * N N,SING,COM êÌ«Â
W * N N,SING,COM «·ﬁ«¡
W * V V,SUB,POS,6 ﬂ‰‰œ
W * DELM DELM .
W * N N,SING,COM,GEN êÌ«Â
W * N N,SING,COM Œ—œ·
W * P P »Â
W * N N,SING,COM,GEN ÿÊ—
W * ADJ ADJ,SIM ÿ»Ì⁄Ì
W * N N,SING,COM,GEN „ﬁœ«—
W * ADJ ADJ,SIM,INDF ﬂ„Ì
W * N N,SING,COM ‰Ê—
W * P P «“
W * PRO PRO,R,XOD ŒÊœ
W * N N,SING,COM ”«ÿ⁄
W * V V,PRS,POS,3 „Ì ﬂ‰œ
W * CON CON Ê
W * P P,GEN »—«Ì
W * N N,SING,COM,GEN ‘‰«”«ÌÌ
W * N N,SING,COM,GEN ‰Ê—
W * PRO PRO,DEMO,SING ¬‰
W * V V,AUX,NIN,POS »«Ìœ
W * P P «“
W * N N,SING,COM,GEN œÊ—»Ì‰
W * ADV ADV,deg,SIM »”Ì«—
W * ADJ ADJ,SIM Õ”«”
W * P P œ—
W * N N,SING,COM,INDF „ÕÌÿÌ
W * ADJ ADJ,SIM  «—Ìﬂ
W * N N,SING,COM «” ›«œÂ
W * V V,PA,SIM,POS,3 ﬂ—œ
W * DELM DELM .
W * N N,SING,SURN œﬂ —
W * N N,SING,PR »—«„
W * P P œ—
W * N N,SING,COM,GEN „Ê—œ
W * N N,SING,COM,GEN çêÊ‰êÌ
W * N N,SING,COM,GEN ‰Ê—«›‘«‰Ì
W * N N,SING,COM,GEN êÌ«Â
W * N N,SING,COM Œ—œ·
W * P P »«
W * N N,SING,COM,GEN  Õ—Ìﬂ
W * ADJ ADJ,SIM  „«”Ì
W * V V,PRS,POS,3 „Ì êÊÌœ
W * DELM DELM :
W * P P »«
W * N N,SING,COM,GEN ·„”
W * N N,SING,COM êÌ«Â
W * DELM DELM °
W * N N,PL,COM,INDF é‰Â«ÌÌ
W * ADJ ADJ,SIM ›⁄«·
W * V V,PRS,POS,3 „Ì ‘Êœ
W * CON CON Ê
W * N N,SING,COM,INDF ‰Ê⁄Ì
W * N N,SING,COM,GEN ”Ì” „
W * ADJ ADJ,SIM,GEN ⁄’»Ì
W * ADJ ADJ,SIM ‘Ì„Ì«ÌÌ
W * P P »Â
W * N N,SING,COM ﬂ«—
W * V V,PRS,POS,3 „Ì «› œ
W * CON CON Ê
W * N N,PL,COM «ÿ·«⁄« 
W * RA RA —«
W * P P »Â
W * N N,SING,COM,GEN ”«Ì—
W * N N,PL,COM,GEN ﬁ”„ Â«Ì
W * N N,SING,COM êÌ«Â
W * V V,PRS,POS,3 „Ì ›—” œ
W * CON CON Ê
W * N N,SING,COM,GEN „ÊÃ»
W * ADJ ADJ,SIM ›⁄«·
W * N N,SING,NFL,GEN ‘œ‰
W * DET DET «Ì‰
W * N N,SING,COM é‰
W * P P œ—
W * N N,PL,COM,GEN ‰ﬁ«ÿ
W * ADJ ADJ,SIM,GEN œÌê—
W * N N,SING,COM êÌ«Â
W * V V,PRS,POS,3 „Ì ‘Êœ
W * DELM DELM .
W * N N,SING,SURN œﬂ —
W * N N,SING,PR »—«„
W * V V,PRS,POS,3 „Ì «›“«Ìœ
W * N N,SING,COM,GEN ‰ﬁ‘
W * N N,SING,COM,GEN  Õ—Ìﬂ
W * N N,SING,COM  „«”
W * P P œ—
