Sub * SUBJ SUBJ !›Â—”  „‰«»⁄!
W * N N,SING,COM ⁄ﬂ”‰«„Â
W * DELM DELM -
W * N N,SING,TIME,GEN ”«·
W * N N,SING,NUM 3
W * DELM DELM °
W * N N,SING,COM,GEN ‘„«—Â
W * N N,SING,NUM 10
W * DELM DELM -
W * N N,SING,COM ‰‘«‰Ì
W * DELM DELM :
W * N N,SING,LOC,PR  Â—«‰
W * DELM DELM °
W * N N,SING,COM,GEN ’‰œÊﬁ
W * ADJ ADJ,SIM,GEN Å” Ì
W * N N,SING,NUM 1964
W * DELM DELM -
W * N N,SING,NUM 57851
W * DELM DELM /
W * N N,SING,COM  ·›‰
W * DELM DELM :
W * N N,SING,NUM 4631288
W * N N,SING,COM ›«ﬂ”
W * DELM DELM :
W * N N,SING,NUM 584238
W * DELM DELM .
W * N N,SING,COM,GEN ›Â—” 
W * QUA QUA »—ŒÌ
W * N N,PL,COM „ÿ«·»
W * DELM DELM :
W * N N,SING,COM ⁄ﬂ«”
W * P P,GEN »Â „À«»ÂÒ
W * N N,SING,COM ‘«⁄—
W * DELM DELM -
W * N N,SING,COM Å— —Â
W * P P »Â
W * N N,SING,NUM œÊ
W * N N,SING,COM —Ê«Ì 
W * DELM DELM -
W * ADV ADV,I ¬Ì«
W * N N,SING,COM,GEN ‰ê«Â
W * N N,PL,COM,GEN “‰«‰
W * ADJ ADJ,SIM ⁄ﬂ«”
W * N N,SING,COM,INDF ‰ê«ÂÌ
W * ADJ ADJ,SIM „ ›«Ê 
W * V V,PRE,SIM «” 
W * DELM DELM ø
W * N N,SING,COM ê›  ÊêÊ
W * P P »«
W * N N,SING,PR ÃÊ‘Ê«ÅÌ
W * N N,SING,PR «”„Ì 
W * P P,GEN œ—»«—ÂÒ
W * N N,SING,COM,AFF,3 „Ã„Ê⁄Â «‘
W * DELM DELM "
W * N N,SING,COM,GEN ç‘„ «‰œ«“
W * N N,SING,LOC,PR «Ì—«‰
W * DELM DELM "
W * N N,SING,COM,GEN ‰‘—ÌÂÒ
W * ADJ ADJ,SIM ”Ì«”Ì
W * DELM DELM -
W * ADJ ADJ,SIM —«Â»—œÌ
W * DELM DELM -
W * N N,SING,TIME,GEN ”«·
W * ADJ ADJ,ORD «Ê·
W * DELM DELM °
W * N N,SING,COM,GEN ‘„«—Â
W * N N,SING,NUM 4
W * DELM DELM -
W * N N,SING,COM ‰‘«‰Ì
W * DELM DELM :
W * N N,SING,LOC,PR  Â—«‰
W * DELM DELM °
W * N N,SING,LOC,GEN „Ìœ«‰
W * N N,SING,COM  ÊÕÌœ
W * DELM DELM °
W * N N,SING,LOC,GEN ŒÌ«»«‰
W * N N,SING,PR,GEN ‰’— 
W * ADJ ADJ,SIM €—»Ì
W * DELM DELM °
W * N N,SING,COM,GEN ‘„«—Â
W * N N,SING,NUM 42
W * DELM DELM °
W * N N,SING,COM,GEN ÿ»ﬁÂ
W * ADJ ADJ,ORD ”Ê„
W * DELM DELM -
W * N N,SING,COM  ·›‰
W * DELM DELM :
W * N N,SING,NUM 575639
W * N N,SING,COM,GEN ›Â—” 
W * QUA QUA »—ŒÌ
W * N N,PL,COM „ÿ«·»
W * DELM DELM :
W * P P «“
W * ADJ ADJ,SIM „·Ì
W * N N,SING,NFL,GEN ‘œ‰
W * N N,SING,COM ‰› 
W * P P  «
W * ADJ ADJ,SIM „·Ì
W * N N,SING,NFL,GEN ‘œ‰
W * N N,PL,COM «ÿ·«⁄« 
W * DELM DELM -
W * N N,SING,COM,GEN —ÊÕ
W * ADJ ADJ,SIM «Ì—«‰Ì
W * N N,SING,COM,GEN ÅÌÊ‰œ
W * N N,SING,COM,GEN ⁄—›«‰
W * ADJ ADJ,SIM ‘—ﬁÌ
W * CON CON Ê
W * N N,SING,COM,GEN  ⁄ﬁ·
W * ADJ ADJ,SIM €—»Ì
W * DELM DELM -
W * N N,SING,COM,GEN „ œÊ·ÊéÌ
W * ADJ ADJ,SIM œÌ‰Ì
W * P P œ—
W * N N,SING,COM,GEN ⁄—’ÂÒ
W * N N,SING,COM «ﬁ ’«œ
W * DELM DELM -
W * N N,SING,COM,GEN „›ÂÊ„
W * N N,SING,COM «ÕÌ«ê—Ì
W * P P œ—
W * N N,SING,COM,GEN Ã‰»‘
W * ADJ ADJ,SIM,GEN «”·«„Ì
W * ADJ ADJ,SIM „⁄«’—
W * DELM DELM -
W * N N,PL,COM,GEN ê—»Â Â«Ì
W * N N,SING,LOC,PR ¬”Ì«
W * CON CON Ê
W * N N,SING,COM,GEN  ⁄—Ì›
W * ADJ ADJ,SIM,GEN „Ãœœ
W * N N,SING,COM,GEN ”«Œ «—
W * N N,SING,COM ﬁœ— 
W * DELM DELM -
W * N N,SING,LOC,PR  —ﬂÌÂ
W * P P «“
W * N N,SING,COM,GEN ‰ê«Â
W * N N,SING,PR Â«‰ Ì‰ê Ê‰
W * DELM DELM .
Sub * SUBJ SUBJ !”Ì«”Ì!
W * N N,SING,SURN ”Ìœ
W * N N,SING,PR „’ÿ›Ì
W * N N,SING,PR  «Ã “«œÂ
W * N N,SING,COM,GEN „⁄«Ê‰
W * ADJ ADJ,SIM,GEN ”Ì«”Ì
W * N N,SING,COM,GEN Ê“«— 
W * N N,SING,LOC ﬂ‘Ê—
W * N N,SING,TIME,GEN —Ê“
W * N N,SING,DAY œÊ‘‰»Â
W * N N,SING,COM,GEN »—Ê“
W * N N,SING,COM,INDF  Œ·›Ì
W * ADJ ADJ,SIM  √ÀÌ—ê–«—
W * P P œ—
W * N N,SING,COM,GEN ”—‰Ê‘ 
W * N N,PL,COM,GEN «‰ Œ«»« 
W * N N,SING,LOC,PR  Â—«‰
W * RA RA —«
W * N N,SING,COM —œ
W * V V,PA,SIM,POS,3 ﬂ—œ
W * CON CON Ê
W * P P «“
W * N N,SING,GR,GEN ‘Ê—«Ì
W * N N,SING,COM ‰êÂ»«‰
W * V V,PA,SIM,POS,3 ŒÊ«” 
W * CON CON  «
W * N N,SING,COM,GEN ‘„«—Â
W * N N,PL,COM,GEN ’‰œÊﬁÂ«Ì
W * ADJ ADJ,SIM,GEN «»ÿ«· ‘œÂ
W * N N,SING,COM,GEN ÕÊ“Â
W * ADJ ADJ,SIM,GEN «‰ Œ«»ÌÂ
W * N N,SING,LOC,PR  Â—«‰
W * RA RA —«
W * P P »Â
W * N N,SING,COM,GEN „‰ŸÊ—
W * N N,SING,COM,GEN «„ﬂ«‰
W * N N,SING,COM,GEN ÅÌêÌ—Ì
W * N N,PL,COM  Œ·›Â«
W * DELM DELM °
W * P P œ—
W * N N,SING,COM,GEN «Œ Ì«—
W * N N,SING,COM,GEN ›—„«‰œ«—Ì
W * N N,SING,LOC,PR  Â—«‰
W * N N,SING,COM ﬁ—«—
W * V V,SUB,POS,3 œÂœ
W * CON CON  «
W * N N,SING,COM,GEN ÅÌêÌ—Ì
W * N N,PL,COM  Œ·›Â«
W * ADJ ADJ,SIM «„ﬂ«‰ Å–Ì—
W * V V,SUB,POS,3 ‘Êœ
W * DELM DELM .
W * N N,SING,COM,GEN „⁄«Ê‰
W * ADJ ADJ,SIM,GEN ”Ì«”Ì
W * N N,SING,COM,GEN Ê“«— 
W * N N,SING,LOC ﬂ‘Ê—
W * P P œ—
W * N N,SING,COM ê›  ÊêÊ
W * P P »«
W * N N,SING,PR «Ì—‰«
W * P P,GEN ÅÌ—«„Ê‰
W * N N,SING,COM,GEN «—”«·
W * N N,SING,COM,GEN ‰«„Â
W * N N,SING,COM,GEN œ»Ì—
W * N N,SING,GR,GEN ‘Ê—«Ì
W * N N,SING,COM ‰êÂ»«‰
W * P P »Â
W * N N,SING,COM,GEN —Ì«” 
W * N N,SING,COM,GEN ﬁÊÂ
W * ADJ ADJ,SIM ﬁ÷«∆ÌÂ
W * V V,PA,SIM,POS,3 ê› 
W * DELM DELM :
W * IF IF «ê—
W * N N,SING,COM,INDF  Œ·›Ì
W * P P œ—
W * N N,SING,COM,GEN „Ê—œ
W * N N,PL,COM,GEN «‰ Œ«»« 
W * N N,SING,LOC,PR  Â—«‰
W * N N,SING,COM ’Ê— 
W * ADJ ADJ,INO ê—› Â
W * V V,SUB,POS,3 »«‘œ
W * DELM DELM °
W * N N,SING,COM ﬂ‘›
W * CON CON Ê
