Sub * SUBJ SUBJ !„–Â»Ì!
W * N N,SING,COM ê‘«Ì‘
W * DELM DELM :
W * N N,SING,DAY,GEN «—»⁄Ì‰
W * N N,SING,PR Õ”Ì‰Ì
W * ADJ ADJ,SIM,GEN Ì«œ¬Ê—
W * N N,PL,COM,GEN Œ«ÿ—« 
W * ADJ ADJ,SIM,GEN «‰œÊÂ»«—
W * N N,PL,COM,GEN „’«∆»
W * N N,SING,GR «Â· »Ì 
W * CON CON Ê
W * N N,SING,COM,GEN  ÃœÌœ
W * ADJ ADJ,SIM,GEN €„ê‰«‰ÂÒ
W * N N,SING,COM,GEN ¬∆Ì‰
W * N N,SING,COM,GEN ”ÊêÊ«—ÂÒ
W * V V,PRE,NC,3 ⁄«‘Ê—«” 
W * DELM DELM .
W * N N,SING,DAY,INDF ⁄«‘Ê—«ÌÌ
W * CON CON ﬂÂ
W * ADJ ADJ,CMPR ›—« —
W * P P «“
W * N N,SING,NUM Ìﬂ
W * N N,SING,TIME —Ê“
W * ADJ ADJ,INO ‘œÂ
W * CON CON Ê
W * P P »Â
W * N N,SING,NUM Ìﬂ
W * N N,SING,COM  «—ÌŒ
W * N N,SING,COM »œ·
W * ADJ ADJ,INO ê—œÌœÂ
W * V V,PRE,SIM «” 
W * DELM DELM .
W * N N,SING,COM,INDF  «—ÌŒÌ
W * CON CON ﬂÂ
W * N N,SING,COM,GEN  ﬁ«»·
W * ADJ ADJ,SIM,GEN ¬‘ﬂ«—
W * QUA QUA,GEN  „«„Ì
W * N N,SING,COM Õﬁ
W * RA RA —«
W * P P œ—
W * N N,SING,COM,GEN »—«»—
W * QUA QUA,GEN  „«„Ì
W * ADJ ADJ,SIM »«ÿ·
W * N N,SING,COM  „ÀÌ·
W * V V,PRS,POS,3 „Ì ‰„«Ìœ
W * DELM DELM .
W * P P œ—
W * N N,SING,COM,GEN ¬” «‰ÂÒ
W * N N,SING,DAY,GEN «—»⁄Ì‰
W * ADJ ADJ,SIM Õ”Ì‰Ì
W * N N,SING,COM,GEN ‰Ê‘ Â
W * N N,SING,COM “Ì—
W * RA RA —«
W * CON CON ﬂÂ
W * N N,SING,COM,GEN  —Ã„ÂÒ
W * N N,PL,COM,INDF »Œ‘Â«ÌÌ
W * V V,PRE,SIM «” 
W * ADJ ADJ,SIM ê“ÌœÂ
W * P P «“
W * N N,SING,COM,GEN ﬂ «»
W * N N,SING,PR «·„Ã«·” «·Õ”Ì‰ÌÂ
W * N N,SING,COM,GEN  √·Ì›
W * N N,SING,SURN,GEN „—ÕÊ„
W * N N,SING,SURN ¬Ì  «··Â
W * N N,SING,SURN ‘ÌŒ
W * N N,SING,PR,GEN „Õ„œÃÊ«œ
W * N N,SING,PR „€‰ÌÂ
W * N N,SING,COM,GEN  ﬁœÌ„
W * N N,PL,COM ŒÊ«‰‰œê«‰
W * ADJ ADJ,INO ﬂ—œÂ
W * CON CON Ê
W * N N,SING,NFL,GEN ›—«—”Ìœ‰
W * DET DET «Ì‰
W * N N,SING,TIME,GEN —Ê“
W * ADJ ADJ,SIM ⁄ŸÌ„
W * RA RA —«
W * P P »Â
W * QUA QUA,GEN Â„Â
W * N N,PL,COM ¬“«œê«‰
W * CON CON Ê
W * N N,PL,COM ¬“«œ«‰œÌ‘«‰
W * N N,SING,COM  ”·Ì 
W * V V,PRS,POS,4 „Ì êÊÌÌ„
W * DELM DELM .
W * ADV ADV,GENR,SIM „⁄„Ê·«
