Sub * SUBJ SUBJ !”Ì«”Ì!
W * N N,SING,COM,GEN „Ã·”
W * ADJ ADJ,ORD ‘‘„
W * N N,SING,TIME,GEN —Ê“
W * N N,SING,DAY ‘‰»Â
W * N N,SING,COM «›  «Õ
W * V V,PA,SIM,POS,3 ‘œ
W * CON CON Ê
W * P P œ—
W * ADJ ADJ,SUP ‰Œ” Ì‰
W * N N,SING,COM „—Õ·Â
W * DELM DELM °
W * N N,SING,COM,GEN  ⁄ÌÌ‰
W * N N,SING,COM —∆Ì”
W * CON CON Ê
W * N N,SING,COM,GEN  —ﬂÌ»
W * N N,SING,GR ÂÌ«  —∆Ì”Â
W * ADJ ADJ,SUP „Â„ —Ì‰
W * CON CON Ê
W * ADJ ADJ,SUP »ÕÀ «‰êÌ“ —Ì‰
W * N N,SING,COM,GEN „Ê÷Ê⁄
W * N N,SING,COM,GEN —ﬁ«» 
W * N N,PL,GR «Õ“«»
W * CON CON Ê
W * N N,PL,COM,GEN ›—«ﬂ”ÌÊ‰Â«Ì
W * N N,SING,COM,GEN „Ã·”
W * ADJ ADJ,SIM ÃœÌœ
W * V V,PRS,POS,3 „Ì »«‘œ
W * DELM DELM .
W * N N,SING,COM,GEN —«Ì“‰Ì
W * N N,PL,GR «Õ“«»
W * CON CON Ê
W * N N,PL,GR ê—ÊÂÂ«
W * P P,GEN œ—»«—Â
W * N N,SING,COM,GEN  —ﬂÌ»
W * N N,SING,GR ÂÌ«  —∆Ì”Â
W * CON CON ﬂÂ
W * P P «“
W * N N,SING,NUM ç‰œ
W * N N,SING,TIME,GEN Â› Â
W * N N,SING,COM ÅÌ‘
W * N N,SING,ORD ¬€«“
W * ADJ ADJ,INO ‘œÂ
W * DELM DELM °
W * P P »«
W * N N,SING,COM ‘—Ê⁄
W * P P »Â
W * N N,SING,COM,GEN ﬂ«—
W * N N,SING,COM „Ã·”
W * P P œ—
W * N N,PL,TIME,GEN —Ê“Â«Ì
W * ADJ ADJ,SIM «ŒÌ—
W * P P,GEN Ê«—œ
