Sub * SUBJ SUBJ !Â‰—Ì!
W * N N,SING,GR,INDF „Ã„Ê⁄Â «Ì
W * P P «“
W * N N,PL,COM,GEN ¬À«—
W * N N,PL,COM,GEN ‰ﬁ«‘«‰
W * ADJ ADJ,SIM «Ì—«‰Ì
W * P P,GEN  Õ 
W * N N,SING,COM,GEN ⁄‰Ê«‰
W * N N,SING,COM,GEN »Ì«‰
W * ADJ ADJ,SIM  „ÀÌ·Ì
W * P P œ—
W * N N,SING,COM,GEN ‰ﬁ«‘Ì
W * ADJ ADJ,SIM,GEN ‰Êê—«Ì
W * N N,SING,LOC,PR «Ì—«‰
W * P P »Â
W * N N,SING,COM,GEN Â„ 
W * N N,SING,LOC,GEN „Ê“ÂÒ
W * N N,PL,COM,GEN Â‰—Â«Ì
W * ADJ ADJ,SIM „⁄«’—
W * P P «“
W * ADJ ADJ,ORD,GEN œÂ„
W * N N,SING,MON,GEN «”›‰œ
W * N N,SING,NUM 1378
W * P P  «
W * N N,SING,NUM »Ì” 
W * CON CON Ê
W * N N,SING,ORD,GEN œÊ„
W * N N,SING,MON,GEN «—œÌ»Â‘ 
W * N N,SING,NUM 1379
W * P P »Â
W * N N,SING,COM,GEN ‰„«Ì‘
W * V V,PA,SIM,POS,3 œ—¬„œ
W * DELM DELM .
W * N N,SING,COM ”„»Ê·Ì”„
W * CON CON Ê
W * N N,SING,COM,GEN »Ì«‰
W * N N,PL,COM,GEN „÷«„Ì‰
W * ADJ ADJ,SIM —„“Ì
W * N N,SING,NUM,INDF ÌﬂÌ
W * P P «“
W * ADJ ADJ,SUP Ã–«»  —Ì‰
W * N N,PL,COM,INDF “„Ì‰Â Â«ÌÌ
W * V V,PRE,SIM «” 
W * CON CON ﬂÂ
W * P P «“
W * N N,SING,TIME,GEN ”ÅÌœÂ œ„
W * N N,SING,COM  «—ÌŒ
W * ADV ADV,GENR,TIME  «ﬂ‰Ê‰
W * P P œ—
W * N N,PL,COM,GEN Â‰—Â«Ì
W * ADJ ADJ,SIM  Ã”„Ì
W * P P »Â
W * N N,SING,COM,GEN ÿÊ—
W * ADJ ADJ,SIM „” „—
W * N N,SING,COM „‘«ÂœÂ
W * V V,PRS,POS,3 „Ì ‘Êœ
W * DELM DELM .
W * P P »Â
W * N N,SING,COM,GEN «⁄ ﬁ«œ
W * QUA QUA »”Ì«—Ì
W * P P «“
W * N N,PL,COM „ ›ﬂ—Ì‰
W * CON CON Ê
W * N N,PL,COM Â‰—„‰œ«‰
W * DELM DELM °
W * N N,SING,COM ÃÂ«‰
W * N N,SING,NUM Ìﬂ
W * N N,SING,COM,GEN „‰ŸÊ„Â
W * DELM DELM °
W * ADJ ADJ,SIM ”„»Ê·Ìﬂ
W * V V,PRE,SIM «” 
W * DELM DELM .
W * N N,SING,COM “»«‰
W * CON CON Ê
W * N N,SING,COM «”ÿÊ—Â
W * CON CON Ê
W * N N,SING,COM Â‰—
W * CON CON Ê
W * N N,SING,COM œÌ‰
W * N N,SING,COM,GEN ÃÂ«‰
W * ADJ ADJ,SIM,GEN ”„»Ê·Ìﬂ
W * N N,SING,COM «‰”«‰
W * RA RA —«
W * V V,PRS,POS,6 „Ì ”«“‰œ
W * DELM DELM .
W * N N,SING,COM,GEN “‰œêÌ
W * N N,SING,COM «‰”«‰
W * ADJ ADJ,SIM ¬„ÌŒ Â
W * P P »«
W * N N,PL,COM,GEN  ’«ÊÌ—
W * ADJ ADJ,SIM Â‰—Ì
W * CON CON Ê
W * N N,PL,COM ‰„«œÂ«
W * CON CON Ê
W * N N,PL,COM «”ÿÊ—Â Â«
W * CON CON Ê
W * N N,PL,COM,GEN „—«”„
W * ADJ ADJ,SIM „–Â»Ì
W * V V,PRE,SIM «” 
W * CON CON ﬂÂ
W * P P œ—
W * N N,SING,COM,INDF »—¬Ì‰œÌ
W * ADJ ADJ,SIM ﬂ·Ì
W * N N,SING,COM,GEN ÃÂ«‰
W * ADJ ADJ,SIM,GEN „⁄‰ÊÌ
W * N N,SING,COM «‰”«‰
W * RA RA —«
W * N N,SING,COM  ‘ﬂÌ·
W * V V,PRS,POS,6 „Ì œÂ‰œ
W * DELM DELM .
W * N N,PL,COM ‰„ÊœÂ«
W * CON CON Ê
W * N N,PL,COM,GEN ÅœÌœÂ Â«Ì
W * N N,SING,COM,GEN ÕÌ« 
W * ADJ ADJ,SIM,GEN ›—Â‰êÌ
W * N N,SING,COM «‰”«‰
W * N N,PL,COM,GEN ’Ê— Â«Ì
W * V V,PRE,ADJC,6 ”„»Ê·Ìﬂ «‰œ
W * DELM DELM .
W * N N,PL,COM,GEN ’Ê— Â«Ì
W * ADJ ADJ,SIM ”„»Ê·Ìﬂ
W * ADV ADV,GENR,SIM „œ«„
W * P P œ—
W * N N,SING,COM  €ÌÌ—
W * CON CON Ê
W * V V,PRE,NC,6  ÕÊ· «‰œ
W * CON CON Ê
W * N N,PL,COM Â‰—„‰œ«‰
W * P P œ—
W * N N,PL,COM,GEN ’Ê—
W * ADJ ADJ,SIM ”„»Ê·Ìﬂ
W * N N,SING,COM,GEN ÕÌ« 
W * ADJ ADJ,SIM,INDF ÃœÌœÌ
W * RA RA —«
W * P P »Â
W * N N,SING,COM ŸÂÊ—
W * V V,PRS,POS,6 „Ì —”«‰‰œ
W * DELM DELM .
W * N N,SING,COM —„“Å—œ«“Ì
W * CON CON Ê
W * N N,SING,COM —«“Ê—“Ì
W * P P œ—
W * N N,SING,COM,GEN Â‰—
W * N N,SING,COM ‰ﬁ«‘Ì
W * P P œ—
W * N N,SING,COM,GEN ﬁ«·»
W * N N,SING,COM ‰„«œê—«ÌÌ
W * N N,SING,COM ‘ﬂ·
W * V V,PRS,POS,3 „Ì êÌ—œ
W * DELM DELM .
W * N N,SING,COM,GEN ‘‰«Œ 
W * N N,SING,COM,GEN  ›«Ê Â«Ì
W * N N,SING,COM ‰„«œ
W * DELM DELM °
W * N N,SING,COM  „ÀÌ·
W * DELM DELM °
W * N N,SING,COM «” ⁄«—Â
W * CON CON Ê
W * N N,SING,COM «”ÿÊ—Â
W * CON CON Ê
W * N N,SING,COM ‰‘«‰Â
W * CON CON Ê
W * N N,SING,COM ⁄·«„ 
W * P P,GEN »—«Ì
W * N N,SING,COM,GEN  Õﬁﬁ
W * N N,SING,COM,GEN ’Ê— 
W * ADJ ADJ,SIM,GEN „‰«”»
W * ADJ ADJ,SIM »Ì«‰Ì
W * P P œ—
W * N N,PL,COM,GEN Â‰—Â«Ì
W * ADJ ADJ,SIM  Ã”„Ì
W * DELM DELM °
W * ADJ ADJ,SIM «’·Ì
W * CON CON Ê
W * ADJ ADJ,SIM ÷—Ê—Ì
W * P P »Â
W * N N,SING,COM ‰Ÿ—
W * V V,PRS,POS,3 „Ì —”œ
W * DELM DELM .
W * N N,SING,COM,GEN Œ·ÿ
W * N N,SING,COM,GEN ÕÊ“ÂÒ
W * N N,SING,COM,GEN Â‰—
W * N N,SING,COM ‰ﬁ«‘Ì
W * CON CON Ê
W * N N,SING,COM «œ»Ì« 
W * P P »«
W * PRO PRO,REC ÌﬂœÌê—
W * ADV ADV,GENR,SIM «€·»
W * P P »Â
W * N N,SING,COM,GEN “Ì«‰
W * N N,PL,COM,GEN Â‰—Â«Ì
W * ADJ ADJ,SIM  Ã”„Ì
W * ADJ ADJ,SIM „‰Ã—
W * ADJ ADJ,INO ‘œÂ
W * V V,PRE,SIM «” 
W * DELM DELM .
W * N N,SING,COM,GEN ”«Œ «—
W * ADJ ADJ,SIM,GEN »Ì«‰Ì
W * N N,SING,COM,GEN Â‰—
W * N N,SING,COM ‰ﬁ«‘Ì
W * N N,SING,COM —Ê«Ì ê—Ì
W * CON CON Ê
W * N N,SING,COM „›ÂÊ„ Å—œ«“Ì
W * V V,PRS,NEG,3 ‰Ì” 
W * DELM DELM .
W * N N,SING,COM —Ê«Ì ê—Ì
W * CON CON Ê
W * N N,SING,COM „›ÂÊ„ Å—œ«“Ì
W * CON CON Ê
W * QUA QUA Â—
W * SPEC SPEC êÊ‰Â
W * N N,SING,COM,GEN »Ì«‰
W * ADJ ADJ,SIM  Ê’Ì›Ì
W * CON CON Ê
W * ADJ ADJ,SIM œ«” «‰Ì
W * P P »Â
W * QUA QUA Â—
W * N N,SING,COM ‘ﬂ·
W * CON CON Ê
W * N N,SING,COM ‘ÌÊÂ
W * CON CON Ê
W * N N,SING,COM,INDF „÷„Ê‰Ì
W * DELM DELM °
W * N N,SING,COM «Œ ’«’
W * P P »Â
W * N N,SING,COM,GEN ÕÊ“ÂÒ
W * N N,SING,COM «œ»Ì« 
W * V V,PRS,POS,3 œ«—œ
W * DELM DELM .
W * CON CON “Ì—«
W * QUA QUA Â—
W * N N,SING,COM,INDF  Ê’Ì›Ì
W * P P œ—
W * N N,SING,COM,GEN  Ê«·Ì
W * N N,SING,COM “„«‰
W * CON CON Ê
W * N N,SING,COM „ﬂ«‰
W * N N,SING,COM,GEN «‰ ﬁ«·
W * N N,PL,COM „›«ÂÌ„
W * RA RA —«
W * P P »Â
W * N N,SING,COM,GEN ÿÊ—
W * ADJ ADJ,SIM ‰”»Ì
W * ADJ ADJ,SIM «„ﬂ«‰ Å–Ì—
W * V V,AUX,FEA,POS,3 ŒÊ«Âœ
W * V V,PA,SIM,POS,3 ﬂ—œ
W * DELM DELM .
W * N N,SING,COM,GEN ”«Œ «—
W * N N,SING,COM »Ì«‰
W * P P œ—
W * N N,PL,COM,GEN Â‰—Â«Ì
W * ADJ ADJ,SIM  Ã”„Ì
W * ADJ ADJ,SIM,GEN œ«—«Ì
W * N N,PL,COM,INDF Œ’Ê’Ì« Ì
W * V V,PRE,SIM «” 
W * CON CON ﬂÂ
W * N N,SING,COM,GEN «„ﬂ«‰
W * N N,SING,COM,GEN »Ì«‰
W * ADJ ADJ,SIM  Ê’Ì›Ì
W * RA RA —«
W * P P »Â
W * N N,SING,COM,GEN Õœ«ﬁ·
W * ADJ ADJ,SIM „„ﬂ‰
W * N N,SING,COM ﬂ«Â‘
W * V V,PRS,POS,3 „Ì œÂœ
W * CON CON Ê
W * N N,SING,COM ”ÊéÂ
W * CON CON Ì«
W * N N,SING,COM „Ê÷Ê⁄
W * DELM DELM °
W * N N,SING,COM,GEN  Ê«·Ì
W * N N,PL,COM,GEN ’Ê— Â«Ì
W * ADJ ADJ,SIM  ŒÌ·Ì
W * CON CON Ê
W * ADJ ADJ,SIM,GEN  ’ÊÌ—Ì
W * PRO PRO,R,XOD ŒÊœ
W * RA RA —«
W * P P «“
W * N N,SING,COM œ” 
W * V V,PRS,POS,3 „Ì œÂœ
W * CON CON Ê
W * P P «“
W * N N,SING,COM,GEN ﬂ·
W * N N,PL,COM,GEN  ’«ÊÌ—
W * ADJ ADJ,SIM „ Ê«·Ì
W * ADV ADV,GENR,SIM  ‰Â«
W * N N,SING,NUM Ìﬂ
W * N N,SING,COM  ’ÊÌ—
W * P P œ—
W * N N,SING,COM,GEN Â‰—
W * N N,SING,COM ‰ﬁ«‘Ì
W * ADJ ADJ,SIM,GEN ﬁ«»·
W * N N,SING,COM  Ã”„
W * V V,PRE,SIM «” 
W * CON CON ﬂÂ
W * ADV ADV,GENR,SIM œ—‰Â«Ì 
W * DET DET Â„«‰
W * N N,SING,NUM Ìﬂ
W * N N,SING,COM  ’ÊÌ—
W * CON CON Â„
