Sub * SUBJ SUBJ !«„‰Ì Ì!
Sub * SUBJ SUBJ !ﬁ÷«ÌÌ!
W * N N,SING,PR,GEN „Õ„œ
W * N N,SING,PR ‰Ì«“Ì
W * N N,SING,COM,GEN —∆Ì”
W * N N,SING,COM,GEN ”«“„«‰
W * ADJ ADJ,SIM,GEN ﬁ÷«ÌÌ
W * N N,PL,COM,GEN ‰Ì—ÊÂ«Ì
W * ADJ ADJ,SIM „”·Õ
W * N N,SING,TIME,GEN —Ê“
W * N N,SING,DAY ‘‰»Â
W * P P œ—
W * N N,SING,COM,INDF ê›  ÊêÊÌÌ
W * ADJ ADJ,SIM „ÿ»Ê⁄« Ì
W * N N,SING,COM «⁄·«„
W * V V,PA,SIM,POS,3 ﬂ—œ
W * DELM DELM :
W * N N,SING,COM,INDF ”Ì«” ê–«—Ì
W * CON CON Ê
W * N N,SING,COM  ’„Ì„ êÌ—Ì
W * P P,GEN œ—»«—Â
W * N N,SING,COM,GEN Å—Ê‰œÂ
W * N N,PL,COM,GEN ﬁ ·Â«Ì
W * ADJ ADJ,SIM “‰ÃÌ—Â «Ì
W * P P »—
W * N N,SING,COM,GEN ⁄ÂœÂ
W * N N,PL,COM,GEN —ƒ”«Ì
W * N N,SING,COM,GEN ﬁÊÂ
W * ADJ ADJ,SIM „Ã—ÌÂ
W * CON CON Ê
W * ADJ ADJ,SIM ﬁ÷«∆ÌÂ
W * V V,PRE,SIM «” 
W * DELM DELM .
W * PRO PRO,personal,SING,3 ÊÌ
W * P P »«
W * N N,SING,COM,GEN  ‘—ÌÕ
W * N N,SING,COM,GEN ‘ﬂ· êÌ—Ì
W * N N,SING,COM,GEN Å—Ê‰œÂ
W * N N,PL,COM,GEN ﬁ ·Â«Ì
W * ADJ ADJ,SIM “‰ÃÌ—Â «Ì
W * CON CON Ê
W * N N,SING,COM,GEN —”ÌœêÌ
W * ADJ ADJ,SIM,GEN «Ê·ÌÂ
W * PRO PRO,DEMO,SING ¬‰
W * P P œ—
W * N N,SING,COM,GEN ”«“„«‰
W * ADJ ADJ,SIM,GEN ﬁ÷«ÌÌ
W * N N,PL,COM,GEN ‰Ì—ÊÂ«Ì
W * ADJ ADJ,SIM „”·Õ
W * V V,PA,SIM,POS,3 ê› 
W * DELM DELM :
W * P P »Â
W * N N,SING,COM,GEN œ·Ì·
W * N N,SING,COM,GEN Õ”«”Ì 
W * N N,SING,COM „Ê÷Ê⁄
W * DELM DELM °
W * N N,PL,COM ÷«»ÿ«‰
W * CON CON Ê
W * N N,PL,COM,INDF ﬂ«—‘‰«”«‰Ì
W * P P «“
W * N N,SING,COM,GEN »Ì‰
W * N N,PL,COM «›—«œ
W * ADJ ADJ,SIM,GEN ‘‰«Œ Â ‘œÂ
W * N N,SING,COM,GEN Ê“«— 
W * N N,PL,COM «ÿ·«⁄« 
W * P P,GEN »—«Ì
