Sub * SUBJ SUBJ !›Â—”  „ÿ«·»!
W * N N,PL,COM “‰«‰
W * DELM DELM -
W * N N,SING,TIME,GEN ”«·
W * N N,SING,NUM 9
W * DELM DELM °
W * N N,SING,COM,GEN ‘„«—Â
W * N N,SING,NUM 63
W * N N,SING,COM ‰‘«‰Ì
W * DELM DELM :
W * N N,SING,LOC,PR  Â—«‰
W * DELM DELM °
W * N N,SING,COM,GEN ’‰œÊﬁ
W * ADJ ADJ,SIM,GEN Å” Ì
W * N N,SING,NUM 5563
W * DELM DELM -
W * N N,SING,NUM 15875
W * N N,SING,COM  ·›‰
W * DELM DELM :
W * N N,SING,NUM 8840678
W * DELM DELM /
W * N N,SING,COM ›«ﬂ”
W * DELM DELM :
W * N N,SING,NUM 8840679
W * N N,SING,COM,GEN ›Â—” 
W * QUA QUA »—ŒÌ
W * N N,PL,COM „ÿ«·»
W * DELM DELM :
W * N N,PL,COM,INDF ‰«ê› Â Â«ÌÌ
W * P P «“
W * N N,SING,COM,GEN ﬂ‰›—«‰”
W * N N,SING,LOC,PR »—·Ì‰
W * DELM DELM -
W * N N,SING,PR,GEN Ã„Ì·Â
W * N N,SING,PR ﬂœÌÊ—
W * DELM DELM :
W * P P «“
W * N N,SING,COM,GEN ‰—œ»«‰
W * N N,SING,COM ﬁœ— 
W * CON CON Ê
W * N N,SING,COM,GEN ‘Â— 
W * N N,PL,COM,GEN „—œÂ«Ì
W * N N,SING,GR Œ«‰Ê«œÂ
W * ADV ADV,GENR,LOC »«·«
W * V V,PA,NAR,NEG,1 ‰Ì«„œÂ «„
W * DELM DELM -
W * P P œ—
W * N N,PL,COM,INDF „‰«ÿﬁÌ
W * P P «“
W * N N,SING,COM ÃÂ«‰
W * DELM DELM °
W * N N,SING,COM “‰
W * N N,SING,NFL »Êœ‰
W * CON CON Ì⁄‰Ì
W * N N,SING,COM „»«—“Â
W * P P,GEN »—«Ì
W * N N,SING,COM »ﬁ«
W * DELM DELM -
W * N N,SING,COM ﬁÊ 
W * CON CON Ê
W * N N,SING,COM,GEN ﬁœ— 
W * N N,SING,COM,GEN Ã‰»‘
W * N N,PL,COM “‰«‰
W * P P œ—
W * N N,SING,LOC,PR Å«ﬂ” «‰
W * DELM DELM -
W * N N,SING,COM «»Â«„
W * P P œ—
W * N N,SING,COM,GEN  ⁄»Ì—
