Sub * SUBJ SUBJ !Ê—“‘Ì!
W * N N,SING,GR,GEN  Ì„
W * N N,SING,COM,GEN Ê«·Ì»«·
W * N N,PL,COM,GEN ÃÊ«‰«‰
W * N N,SING,LOC,PR «Ì—«‰
W * CON CON ﬂÂ
W * P P,GEN »—«Ì
W * N N,SING,COM «‰Ã«„
W * N N,SING,NUM ç‰œ
W * N N,SING,COM,GEN œÌœ«—
W * ADJ ADJ,SIM œÊ” «‰Â
W * P P »Â
W * N N,SING,LOC,PR ⁄—»” «‰
W * N N,SING,COM «⁄“«„
W * ADJ ADJ,INO ‘œÂ
W * V V,PRE,SIM «” 
W * DELM DELM °
W * N N,SING,DAY Ìﬂ‘‰»Â
W * N N,SING,TIME ‘»
W * P P œ—
W * ADJ ADJ,SUP ‰Œ” Ì‰
W * N N,SING,COM,GEN œÌœ«—
W * PRO PRO,R,XOD ŒÊœ
W * N N,SING,COM,GEN „ﬁ«»·
W * N N,SING,GR,GEN  Ì„
W * N N,SING,COM,GEN Ê«·Ì»«·
W * N N,PL,COM,GEN ÃÊ«‰«‰
W * DET DET «Ì‰
W * N N,SING,LOC ﬂ‘Ê—
W * P P »Â
W * N N,SING,COM »— —Ì
W * N N,SING,COM œ” 
W * V V,PA,SIM,POS,3 Ì«› 
W * DELM DELM .
W * P P œ—
W * DET DET «Ì‰
W * N N,SING,COM œÌœ«—
W * CON CON ﬂÂ
W * P P œ—
W * N N,SING,COM,GEN ”«·‰
W * N N,SING,COM,GEN Ê—“‘ê«Â
W * N N,SING,LOC,GEN ‘Â—
W * N N,SING,LOC,PR ÃœÂ
W * CON CON Ê
W * P P œ—
W * N N,SING,COM,GEN Õ÷Ê—
W * N N,SING,COM,INDF ‘„«—Ì
W * P P «“
W * N N,PL,COM ⁄·«ﬁÂ „‰œ«‰
W * P P »Â
W * DET DET «Ì‰
W * N N,SING,COM,GEN —‘ Â
W * ADJ ADJ,SIM Ê—“‘Ì
W * CON CON Ê
W * N N,PL,COM,GEN «⁄÷«Ì
W * N N,SING,COM,GEN ”›«— 
W * N N,SING,LOC,PR «Ì—«‰
W * P P œ—
W * N N,SING,LOC,PR ⁄—»” «‰
W * ADJ ADJ,SIM »—ê“«—
W * V V,PA,SIM,POS,3 ‘œ
W * DELM DELM °
W * N N,SING,GR,GEN  Ì„
W * N N,SING,COM,GEN Ê«·Ì»«·
W * N N,PL,COM,GEN ÃÊ«‰«‰
W * N N,SING,LOC,AFF,4 ﬂ‘Ê—„«‰
W * P P œ—
W * N N,SING,NUM 3
W * N N,SING,COM,GEN êÌ„
W * ADJ ADJ,SIM ÅÌ«ÅÌ
W * CON CON Ê
W * P P »«
W * N N,PL,COM,GEN «„ Ì«“Â«Ì
W * N N,SING,NUM 52
W * P P »—
W * N N,SING,NUM 12
W * DELM DELM °
W * N N,SING,NUM 52
W * P P »—
W * N N,SING,NUM 32
W * CON CON Ê
W * N N,SING,NUM 52
W * P P »—
W * N N,SING,NUM 32
W * N N,SING,COM,GEN Õ—Ì›
W * PRO PRO,R,XOD ŒÊœ
W * RA RA —«
W * ADJ ADJ,SIM „€·Ê»
W * V V,PA,SIM,POS,3 ﬂ—œ
W * DELM DELM .
W * N N,SING,GR,GEN  Ì„
W * N N,SING,COM,GEN Ê«·Ì»«·
W * N N,PL,COM,GEN ÃÊ«‰«‰
W * N N,SING,LOC,PR «Ì—«‰
W * CON CON ﬂÂ
W * N N,SING,COM,GEN „Ì“»«‰
W * ADJ ADJ,ORD œÂ„Ì‰
W * N N,SING,COM,GEN œÊ—Â
W * N N,PL,COM,GEN „”«»ﬁÂ Â«Ì
W * N N,SING,COM,GEN Ê«·Ì»«·
W * N N,SING,COM,GEN ﬁÂ—„«‰Ì
W * N N,PL,COM,GEN ÃÊ«‰«‰
W * V V,PRE,NC,3 ¬”Ì«” 
W * DELM DELM °
W * P P »«
W * N N,SING,COM,GEN  —ﬂÌ»
W * N N,SING,PR,GEN œ«Êœ
W * N N,SING,PR „ﬁ»·Ì
W * DELM DELM °
W * N N,SING,PR,GEN „Â—«‰
W * N N,SING,COM “«—⁄
W * DELM DELM °
W * N N,SING,PR „— ÷Ì
W * N N,SING,PR ‘Ì«—Ì
W * DELM DELM °
W * N N,SING,PR,GEN «›‘Ì‰
W * N N,SING,PR ⁄·Ì“«œÂ
W * DELM DELM °
W * N N,SING,PR,GEN œ«—ÌÊ‘
W * N N,SING,PR ‘Ì»«‰Ì
W * CON CON Ê
W * N N,SING,PR,GEN „ÂœÌ
W * N N,SING,PR „ÂœÊÌ
W * N N,SING,COM Å«Ì
W * P P »Â
W * N N,SING,LOC „Ìœ«‰
W * V V,PA,SIM,POS,3 ê–«‘ 
W * CON CON Ê
W * N N,SING,PR,GEN „Ìﬂ«ÌÌ·
W * N N,SING,PR ÌÊ·„Â
W * DELM DELM °
W * N N,SING,PR ÅÊ—Ì«
W * N N,SING,PR Ì“œ«‰ Å‰«Â
W * DELM DELM °
W * N N,SING,SURN ”Ìœ
W * N N,SING,PR,GEN »«ﬁ—
W * N N,SING,PR Õ”Ì‰Ì ‰é«œ
W * CON CON Ê
W * N N,SING,PR,GEN  ÊÕÌœ
W * N N,SING,PR Õ”Ì‰Ì
W * P P »Â
W * N N,SING,COM,GEN ⁄‰Ê«‰
W * N N,PL,COM,GEN »«“Ìﬂ‰«‰
W * ADJ ADJ,SIM –ŒÌ—Â
W * P P »Â
W * N N,SING,LOC „Ìœ«‰
W * ADJ ADJ,INO ›—«ŒÊ«‰œÂ
W * V V,PA,SIM,POS,6 ‘œ‰œ
W * DELM DELM .
W * ADJ ADJ,ORD œÂ„Ì‰
W * N N,SING,COM,GEN œÊ—Â
W * N N,PL,COM,GEN „”«»ﬁÂ Â«Ì
W * N N,SING,COM,GEN Ê«·Ì»«·
W * N N,SING,COM,GEN ﬁÂ—„«‰Ì
W * N N,PL,COM,GEN ÃÊ«‰«‰
W * N N,SING,LOC,PR ¬”Ì«
W * DELM DELM °
W * P P «“
W * N N,SING,TIME,GEN —Ê“
W * N N,SING,NUM,GEN 21
W * N N,SING,MON „—œ«œ
W * N N,SING,TIME,GEN „«Â
W * N N,SING,TIME,GEN ”«·
W * ADJ ADJ,SIM Ã«—Ì
W * P P »«
W * N N,SING,COM,GEN ‘—ﬂ 
W * N N,SING,NUM 31
W * N N,SING,GR  Ì„
W * P P œ—
W * N N,SING,LOC,PR  Â—«‰
W * ADJ ADJ,SIM »—ê“«—
W * V V,AUX,FEA,POS,3 ŒÊ«Âœ
W * V V,PA,SIM,POS,3 ‘œ
W * CON CON Ê
W * N N,SING,GR,GEN  Ì„
W * N N,SING,LOC,PR «Ì—«‰
W * P P »Â
W * N N,SING,COM,GEN Â„—«Â
W * N N,PL,GR,GEN  Ì„Â«Ì
W * N N,SING,LOC,PR,GEN ﬂ—Â
W * ADJ ADJ,SIM ‘„«·Ì
W * CON CON Ê
W * N N,SING,LOC,PR Å«ﬂ” «‰
W * P P œ—
W * N N,SING,COM,GEN ê—ÊÂ
W * ADJ ADJ,ORD «Ê·
W * N N,SING,COM ﬁ—«—
W * V V,PRS,POS,3 œ«—œ
W * DELM DELM .
W * DELM DELM #
W * N N,SING,COM,GEN ‘ﬂ” 
W * N N,PL,COM,GEN  ‰Ì” »«“«‰
W * N N,SING,COM,GEN “‰
W * ADJ ADJ,SIM «‰ê·Ì”Ì
W * P P œ—
W * ADJ ADJ,ORD «Ê·Ì‰
W * N N,SING,TIME,GEN —Ê“
W * N N,PL,COM,GEN —ﬁ«» Â«Ì
W * N N,SING,LOC,PR ÊÌ„»·œÊ‰
W * DELM DELM #
W * N N,PL,COM,GEN —ﬁ«» Â«Ì
W * ADJ ADJ,SIM,GEN »Ì‰ «·„··Ì
W * N N,SING,COM,GEN  ‰Ì”
W * N N,SING,LOC,PR ÊÌ„»·œÊ‰
W * P P »«
W * N N,SING,COM,GEN Õ÷Ê—
W * N N,SING,COM,INDF ‘„«—Ì
W * P P «“
W * ADJ ADJ,SUP »Â —Ì‰
W * N N,PL,COM,GEN  ‰Ì” »«“«‰
W * N N,SING,COM ÃÂ«‰
W * P P «“
W * N N,SING,TIME,GEN »⁄œ«“ŸÂ—
W * N N,SING,TIME,GEN —Ê“
W * N N,SING,DAY œÊ‘‰»Â
W * P P œ—
W * N N,SING,LOC,PR ·‰œ‰
W * N N,SING,ORD ¬€«“
W * V V,PA,SIM,POS,3 ‘œ
W * DELM DELM .
W * P P œ—
W * ADJ ADJ,ORD «Ê·Ì‰
W * N N,SING,TIME,GEN —Ê“
W * DET DET «Ì‰
W * N N,PL,COM „”«»ﬁ« 
W * P P œ—
W * N N,SING,COM,GEN ﬁ”„ 
W * ADJ ADJ,SIM «‰›—«œÌ
W * CON CON Ê
W * P P œ—
W * N N,SING,COM,GEN »Œ‘
W * N N,PL,COM “‰«‰
W * N N,SING,PR ÃÊ·Ì‰
W * N N,SING,PR ÅÊ·Ì‰
W * CON CON Ê
W * N N,SING,PR ÃÊ
W * N N,SING,PR Ê«—œ
W * QUA QUA Â—
W * N N,SING,NUM œÊ
W * P P «“
W * N N,SING,LOC,PR «‰ê·Ì”
W * P P œ—
W * N N,SING,NUM œÊ
W * N N,SING,COM,GEN ” 
W * ADJ ADJ,SIM ÅÌ«ÅÌ
W * ADJ ADJ,SIM,GEN „€·Ê»
W * N N,SING,PR ‰« «‘«
W * N N,SING,PR «“ÊÂ —Ê«
W * P P «“
W * N N,SING,LOC,PR »Ì·Ê—Ê”Ì
W * CON CON Ê
W * N N,SING,PR ÂÊ»—
W * P P «“
W * N N,SING,LOC,PR ¬·„«‰
W * V V,PA,SIM,POS,6 ‘œ‰œ
W * DELM DELM .
W * P P œ—
W * ADJ ADJ,SIM œÌê—
W * N N,PL,COM,GEN œÌœ«—Â«Ì
W * ADJ ADJ,SIM,GEN «‰›—«œÌ
W * N N,PL,COM,GEN “‰«‰
W * DET DET «Ì‰
W * N N,PL,COM „”«»ﬁÂ Â«
W * DELM DELM °
W * N N,SING,PR ”—Ì‰«
W * N N,SING,PR ÊÌ·Ì«„“
W * P P «“
W * N N,SING,LOC,PR ¬„—Ìﬂ«
W * N N,SING,PR ¬”«
W * N N,SING,PR ﬂ«—·”Ê‰
W * P P «“
W * N N,SING,LOC,PR ”Ê∆œ
W * RA RA —«
W * P P »«
W * N N,PL,COM,GEN ‰ «ÌÃ
W * N N,SING,NUM 3
W * DELM DELM ‹
W * N N,SING,NUM 6
W * DELM DELM °
W * N N,SING,NUM 2
W * DELM DELM ‹
W * N N,SING,NUM 6
W * N N,SING,COM ‘ﬂ” 
W * V V,PA,SIM,POS,3 œ«œ
W * DELM DELM .
W * N N,SING,PR  «„«—Ì‰
W * N N,SING,PR  «‰«”Êê«—«‰
W * N N,SING,COM,GEN  ‰Ì” »«“
W * ADJ ADJ,SIM  «Ì·‰œÌ
W * DELM DELM °
W * N N,SING,PR —Ê”«
W * N N,SING,PR œ·Ê”
W * N N,SING,PR —ÌÊ”
W * P P «“
W * N N,SING,LOC,PR Å«—«êÊ∆Â
W * RA RA —«
W * P P œ—
W * N N,SING,NUM œÊ
W * N N,SING,COM,GEN ” 
W * ADJ ADJ,SIM ÅÌ«ÅÌ
W * ADJ ADJ,SIM „€·Ê»
W * V V,PA,SIM,POS,3 ﬂ—œ
W * DELM DELM .
W * N N,SING,PR ¬Ì ”ÊêÌ
W * N N,SING,PR Ì«„«
W * P P «“
W * N N,SING,LOC,PR é«Å‰
W * P P œ—
W * N N,SING,NUM œÊ
W * N N,SING,COM,GEN ” 
W * ADJ ADJ,SIM ÅÌ œ—ÅÌ
W * P P »—
W * N N,SING,PR ÌÊﬂ«
W * N N,SING,PR ÌÊ‘Ìœ«
W * N N,SING,COM,GEN Â„Êÿ‰
W * PRO PRO,R,XOD ŒÊœ
W * ADJ ADJ,SIM çÌ—Â
W * V V,PA,SIM,POS,3 ‘œ
W * DELM DELM .
W * N N,SING,PR «ÌÊ 
W * N N,SING,PR »«” Ì‰ê
W * P P «“
W * N N,SING,LOC,PR Â·‰œ
W * CON CON ‰Ì“
W * N N,SING,PR ¬œ—Ì«‰«
W * N N,SING,PR ê—”Ì
W * P P «“
W * N N,SING,COM,GEN Ã„ÂÊ—Ì
W * N N,SING,LOC,PR çﬂ
W * RA RA —«
W * ADJ ADJ,SIM „€·Ê»
W * V V,PA,SIM,POS,3 ﬂ—œ
W * DELM DELM .
W * DET DET «Ì‰
W * N N,PL,COM „”«»ﬁÂ Â«
W * P P »Â
W * N N,SING,COM,GEN „œ 
W * N N,SING,NUM œÊ
W * N N,SING,TIME Â› Â
W * N N,SING,COM «œ«„Â
W * V V,AUX,FEA,POS,3 ŒÊ«Âœ
