Sub * SUBJ SUBJ !«Ã „«⁄Ì!
W * N N,SING,COM,GEN ”«“„«‰
W * N N,PL,GR „··
W * DELM DELM ‹
W * N N,SING,NPR «Ì—‰«
W * DELM DELM :
W * N N,SING,PR,GEN Œœ«œ«œ
W * N N,SING,PR ⁄“Ì“Ì
W * N N,SING,COM,GEN ›Ê »«·Ì” 
W * ADJ ADJ,SIM,GEN ’«Õ» ‰«„
W * N N,SING,LOC,PR «Ì—«‰
W * P P »Â
W * N N,SING,COM,GEN œ⁄Ê 
W * N N,SING,COM,GEN ”«“„«‰
W * N N,PL,GR „··
W * P P œ—
W * N N,SING,COM,GEN ÊÌéÂ »—‰«„Â
W * N N,SING,COM „»«—“Â
W * P P »«
W * N N,PL,COM,GEN „Ê«œ
W * ADJ ADJ,SIM,GEN „Œœ—
W * DET DET «Ì‰
W * N N,SING,COM ”«“„«‰
W * N N,SING,COM ‘—ﬂ 
W * V V,PA,SIM,POS,3 ﬂ—œ
W * DELM DELM .
W * N N,SING,PR ⁄“Ì“Ì
W * P P œ—
W * N N,SING,COM ê›  ÊêÊ
W * P P »«
W * N N,SING,COM,GEN Œ»—‰ê«—
W * N N,SING,NPR «Ì—‰«
W * P P,GEN ÷„‰
W * N N,SING,COM,GEN «»—«“
W * N N,SING,COM Œ—”‰œÌ
W * P P «“
W * N N,SING,COM,GEN ‘—ﬂ 
W * P P œ—
W * N N,SING,NUM Ìﬂ
W * N N,SING,COM,GEN »—‰«„Â
W * ADJ ADJ,SIM,GEN «‰”«‰ œÊ” «‰Â
W * N N,SING,COM,GEN ”«“„«‰
W * N N,PL,GR „··
W * DELM DELM °
W * N N,SING,COM,GEN „»«—“Â
W * ADJ ADJ,SIM,GEN ›—«êÌ—
W * N N,SING,LOC,PR «Ì—«‰
W * P P,GEN »—«Ì
W * ADJ ADJ,SIM —Ì‘Â ﬂ‰
W * N N,SING,NFL,GEN ﬂ—œ‰
W * N N,PL,COM,GEN „Ê«œ
W * ADJ ADJ,SIM „Œœ—
W * RA RA —«
W * N N,SING,COM  Õ”Ì‰
W * V V,PA,SIM,POS,3 ﬂ—œ
W * DELM DELM .
W * N N,SING,PR ⁄“Ì“Ì
W * P P œ—
W * N N,SING,COM,INDF ÊÌéÂ »—‰«„Â «Ì
W * CON CON ﬂÂ
W * P P «“
W * N N,SING,COM,GEN ”ÊÌ
W * N N,SING,COM,GEN ”«“„«‰
W * N N,PL,GR „··
W * P P,GEN »—«Ì
W * N N,SING,COM „»«—“Â
W * P P »«
W * N N,PL,COM,GEN „Ê«œ
W * ADJ ADJ,SIM „Œœ—
W * N N,SING,COM  — Ì»
W * ADJ ADJ,INO Ì«› Â
W * V V,PRE,SIM «” 
W * DELM DELM °
W * N N,SING,COM,INDF ÅÌ«„Ì
W * RA RA —«
W * P P »Â
W * N N,SING,COM,GEN “»«‰
W * N N,SING,COM ›«—”Ì
W * P P,GEN »—«Ì
W * N N,PL,COM ÃÊ«‰«‰
W * N N,SING,COM ﬁ—«∆ 
W * V V,PA,SIM,POS,3 ﬂ—œ
W * DELM DELM .
W * P P »Â
W * N N,SING,COM,GEN „‰«”» 
W * N N,SING,TIME,GEN —Ê“
W * ADJ ADJ,SIM,GEN ÃÂ«‰Ì
W * N N,SING,COM „»«—“Â
W * P P »«
W * N N,PL,COM,GEN „Ê«œ
W * ADJ ADJ,SIM „Œœ—
W * DELM DELM °
W * N N,SING,COM,GEN »Œ‘
W * N N,SING,COM „»«—“Â
W * P P »«
W * N N,SING,COM Ã‰«Ì 
W * CON CON Ê
W * N N,PL,COM,GEN „Ê«œ
W * ADJ ADJ,SIM,GEN „Œœ—
W * N N,SING,COM,GEN ”«“„«‰
W * N N,PL,GR „··
W * N N,PL,COM,INDF »—‰«„Â Â«ÌÌ
W * P P,GEN »—«Ì
W * N N,SING,COM,GEN »«“œÌœ
W * N N,SING,NUM ç‰œ
W * N N,SING,COM,GEN Ê—“‘ﬂ«—
W * ADJ ADJ,SIM,GEN ’«Õ» ‰«„
W * N N,SING,COM ÃÂ«‰
W * P P «“
W * N N,SING,COM Ã„·Â
