Sub * SUBJ SUBJ !„–Â»Ì!
W * DELM DELM #
W * DELM DELM "
W * N N,SING,COM ‰—„‘
W * CON CON Ì«
W * N N,SING,COM Œ‘Ê‰ 
W * DELM DELM "
W * P P «“
W * N N,SING,SURN œﬂ —
W * N N,SING,PR,GEN „Õ„œÂ«œÌ
W * N N,SING,PR ⁄»œŒœ«∆Ì
W * N N,SING,COM,GEN ”›Ì—
W * N N,SING,COM,GEN Ã„ÂÊ—Ì
W * ADJ ADJ,SIM,GEN «”·«„Ì
W * N N,SING,LOC,PR «Ì—«‰
W * DELM DELM -
W * N N,SING,PR Ê« Ìﬂ«‰
W * DELM DELM #
W * P P œ—
W * N N,SING,COM,GEN “„«‰
W * N N,SING,PR,GEN —”Ê·
W * ADJ ADJ,SIM «ﬂ—„
W * DELM DELM )
W * N N,SING,SURN ’
W * DELM DELM (
W * QUA QUA »—ŒÌ
W * P P «“
W * N N,SING,GR,INDF „—œ„Ì
W * CON CON ﬂÂ
W * ADJ ADJ,SIM,GEN œ«—«Ì
W * N N,SING,COM,GEN ﬁÊ 
W * ADJ ADJ,SIM «Ì„«‰Ì
W * ADJ ADJ,INO,NEG ‰»ÊœÂ
W * CON CON Ê
W * ADJ ADJ,SIM,GEN ê—› «—
W * N N,PL,COM,GEN »Ì„«—ÌÂ«Ì
W * ADJ ADJ,SIM —Ê«‰Ì
W * CON CON Ê
W * N N,SING,COM,GEN ÷⁄›
W * ADJ ADJ,SIM —ÊÕÌ
W * V V,PA,SIM,POS,6 »Êœ‰œ
W * DELM DELM °
W * P P »Â
W * N N,SING,PR ÌÂÊœ
W * CON CON Ê
W * N N,SING,PR ‰’«—Ì
W * N N,SING,COM ‰“œÌﬂ
W * V V,PA,PRG,POS,6 „Ì ‘œ‰œ
W * P P «“
W * CON CON «Ì‰ ﬂÂ
W * ADV ADV,GENR,SIM „»«œ«
W * N N,SING,COM,INDF ¬”Ì»Ì
W * P P »Â
W * PRO PRO,DEMO,PL ¬‰Â«
W * V V,SUB,POS,3 —”œ
W * DELM DELM .
W * CON CON «“«Ì‰ —Ê
W * N N,PL,COM „ƒ„‰Ì‰
W * P P «“
W * N N,SING,COM œÊ—Ê∆Ì
W * CON CON Ê
W * N N,SING,COM,GEN ê—«Ì‘
W * PRO PRO,personal,PL,3 «Ì‘«‰
W * PP PP,GEN »”ÊÌ
W * N N,PL,COM „Œ«·›«‰
W * N N,SING,COM —‰Ã
W * V V,PA,PRG,POS,6 „Ì »—œ‰œ
W * DELM DELM .
W * N N,SING,PR,GEN ﬁ—¬‰
W * N N,SING,PR,GEN „ÃÌœ
W * N N,PL,COM,GEN «›—«œ
W * ADJ ADJ,SIM »««Ì„«‰
W * RA RA —«
W * N N,SING,COM ‰ÊÌœ
W * P P »Â
W * N N,SING,COM,GEN ‰Ì—ÊÌ
W * ADJ ADJ,SIM,INDF ÊÌéÂ «Ì
W * V V,PRS,POS,3 „Ì œÂœ
W * CON CON ﬂÂ
W * N N,SING,COM Œœ«Ê‰œ
W * PRO PRO,DEMO,PL ¬‰Â«
W * RA RA —«
W * N N,SING,COM œÊ” 
W * V V,PRS,POS,3 œ«—œ
W * CON CON Ê
W * PRO PRO,DEMO,PL ¬‰Â«
W * CON CON Â„
W * N N,SING,PR Œœ«
W * RA RA —«
W * N N,SING,COM œÊ” 
W * V V,PRS,POS,6 œ«—‰œ
W * DELM DELM .
W * CON CON ”Å”
W * V V,PRS,POS,3 „Ì ›—„«Ìœ
W * DELM DELM :
W * AR AR «–·…
W * AR AR ⁄·Ì
W * AR AR «·„ƒ„‰Ì‰
W * DELM DELM °
W * AR AR «⁄“…
W * AR AR ⁄·Ì
W * AR AR «·ﬂ«›—Ì‰
W * DELM DELM :
W * N N,SING,NUM 1
W * DELM DELM -
W * P P œ—
W * N N,SING,COM,GEN „ﬁ«»·
W * N N,PL,COM „ƒ„‰«‰
W * ADJ ADJ,SIM Œ«÷⁄
W * CON CON Ê
W * ADJ ADJ,SIM ›—Ê ‰
W * ADJ ADJ,INO »ÊœÂ
W * CON CON Ê
W * P P œ—
W * N N,SING,COM,GEN ÅÌ‘
W * N N,PL,COM ﬂ«›—«‰
W * ADJ ADJ,SIM »««ﬁ œ«—
W * CON CON Ê
W * ADJ ADJ,SIM ”—ﬂ‘
W * V V,PRS,POS,6 „Ì »«‘‰œ
W * DELM DELM °
W * P P œ—
W * N N,SING,COM,GEN —«Â
W * N N,SING,PR Œœ«
W * N N,SING,COM ÃÂ«œ
W * V V,PRS,POS,6 „Ì ﬂ‰‰œ
W * CON CON Ê
W * P P «“
W * N N,SING,COM,GEN „·«„ 
W * QUA QUA ÂÌç
W * N N,SING,COM,INDF „·«„ ê—Ì
W * CON CON Â„
W * V V,PRS,NEG,6 ‰„Ì  —”‰œ
W * DELM DELM .
W * P P œ—
W * N N,SING,COM,GEN –Ì·
W * DET DET «Ì‰
W * N N,SING,COM ¬ÌÂ
W * N N,PL,COM —Ê«Ì« 
W * CON CON Ê
W * N N,PL,COM,GEN  ›«”Ì—
W * ADJ ADJ,SIM,INDF „ ⁄œœÌ
W * ADJ ADJ,INO ‘œÂ
W * V V,PRE,SIM «” 
W * DELM DELM .
W * PRO PRO,INDF,SING »—ŒÌ
W * N N,SING,COM  ›”Ì—
W * P P »Â
W * N N,PL,COM,GEN «’Õ«»
W * N N,SING,PR,GEN «„Ì—
W * N N,PL,COM „ƒ„‰«‰
W * DELM DELM )
W * N N,SING,SURN ⁄
W * DELM DELM (
W * V V,PA,NAR,POS,6 ﬂ—œÂ «‰œ
W * CON CON Ê
W * PRO PRO,INDF,SING »—ŒÌ
W * N N,SING,COM  ›”Ì—
W * P P »Â
W * N N,PL,COM,GEN «’Õ«»
W * N N,SING,SURN,GEN Õ÷— 
