Sub * SUBJ SUBJ !œ«” «‰!
W * N N,SING,TIME,INDF —Ê“Ì
W * P P «“
W * N N,PL,TIME —Ê“Â«
W * DELM DELM °
W * N N,SING,COM,GEN »“€«·Â
W * ADJ ADJ,SIM,INDF »«“ÌêÊ‘Ì
W * N N,SING,COM,GEN œ‰»«·
W * N N,SING,NUM ç‰œ
W * N N,SING,COM Å—Ê«‰Â
W * V V,PA,SIM,POS,3 œÊÌœ
W * CON CON Ê
W * P P «“
W * N N,SING,GR ê·Â
W * N N,SING,COM ⁄ﬁ»
W * V V,PA,SIM,POS,3 „«‰œ
W * DELM DELM .
W * ADV ADV,GENR,SIM ‰«êÂ«‰
W * N N,SING,COM,INDF ê—êÌ
W * ADJ ADJ,SIM ê—”‰Â
W * P P,AFF,3 Ã·ÊÌ‘
W * ADJ ADJ,SIM ”»“
W * V V,PA,SIM,POS,3 ‘œ
W * DELM DELM .
W * N N,SING,COM »“€«·Â
W * P P  «
W * N N,SING,COM ê—ê
W * RA RA —«
W * V V,PA,SIM,POS,3 œÌœ
W * DELM DELM °
W * N N,SING,COM —‰ê
W * P P «“
W * N N,SING,COM,AFF,3 —ÊÌ‘
W * V V,PA,SIM,POS,3 Å—Ìœ
W * CON CON Ê
W * P P »«
W * N N,SING,COM,INDF ’œ«ÌÌ
W * ADJ ADJ,SIM »·‰œ
W * N N,SING,COM ›—Ì«œ
W * V V,PA,SIM,POS,3 “œ
W * DELM DELM :
W * N N,SING,COM »⁄ »⁄
W * DELM DELM ...
W * N N,SING,COM ﬂ„ﬂ
W * DELM DELM .
W * CON CON «„«
W * P P  «
W * N N,SING,COM,GEN ’œ«Ì
W * N N,SING,COM »“€«·Â
W * P P «“
W * N N,SING,COM,AFF,3 œÂ«‰‘
W * ADV ADV,GENR,SIM »Ì—Ê‰
W * V V,PA,SIM,POS,3 ¬„œ
W * DELM DELM °
W * N N,SING,COM ê—ê
W * P P »Â
W * N N,SING,COM ÂÊ«
W * V V,PA,SIM,POS,3 Å—Ìœ
W * CON CON Ê
W * P P »«
W * N N,SING,COM,AFF,3 Å‰ÃÂ «‘
W * ADJ ADJ,SIM „Õﬂ„
W * P P »Â
W * N N,SING,COM ’œ«
W * CON CON ﬂÂ
W * ADV ADV,GENR,EXM,GEN „À·
W * N N,SING,COM »«œ
W * P P »Â
W * N N,SING,COM,GEN ÿ—›
W * N N,SING,GR ê·Â
W * V V,PA,PRG,POS,3 „Ì —› 
W * DELM DELM °
W * V V,PA,SIM,POS,3 “œ
W * DELM DELM .
W * N N,PL,COM,GEN ç‰ê«·Â«Ì
W * ADJ ADJ,SIM,GEN  Ì“
W * N N,SING,COM ê—ê
W * P P,GEN —ÊÌ
W * N N,SING,COM ’œ«
W * ADJ ADJ,INO ﬂ‘ÌœÂ
W * V V,PA,SIM,POS,3 ‘œ
W * CON CON Ê
W * PRO PRO,DEMO,SING ¬‰
W * RA RA —«
W * N N,SING,COM Œ—«‘
W * V V,PA,SIM,POS,3 œ«œ
W * DELM DELM .
W * N N,SING,COM ’œ«
W * ADJ ADJ,SIM Œ‘ œ«—
W * V V,PA,SIM,POS,3 ‘œ
W * CON CON Ê
W * P P »Â
W * N N,SING,LOC “„Ì‰
W * V V,PA,SIM,POS,3 «› «œ
W * DELM DELM .
W * N N,SING,COM ê—ê
W * DELM DELM °
W * N N,SING,COM ’œ«
W * RA RA —«
W * V V,PA,SIM,POS,3 »—œ«‘ 
W * DELM DELM °
W * P P  Ê
W * N N,PL,COM,GEN ç‘„Â«Ì
W * ADJ ADJ,SIM,GEN ÊÕ‘  “œÂÒ
W * N N,SING,COM »“€«·Â
W * V V,PA,SIM,POS,3 Œ‰œÌœ
W * DELM DELM °
W * N N,SING,COM,GEN ¬»
W * N N,SING,COM,AFF,3 œÂ«‰‘
W * RA RA —«
W * N N,SING,COM ﬁÊ— 
W * V V,PA,SIM,POS,3 œ«œ
W * CON CON Ê
W * V V,PA,SIM,POS,3 ê› 
W * DELM DELM :
W * ADV ADV,I çÌ
W * N N,SING,COM ŒÌ«·
W * V V,PA,NAR,POS,2 ﬂ—œÂ «Ì
W * DELM DELM ø
W * PRO PRO,personal,SING,1 „‰
W * P P «“
W * PRO PRO,personal,SING,2  Ê
W * ADV ADV,deg,SIM ŒÌ·Ì
W * V V,PRE,ADJC,1 “—‰ê —„
W * DELM DELM .
W * PRO PRO,DEMO,SING ¬‰
W * N N,SING,COM Êﬁ 
W * N N,SING,COM ’œ«
W * RA RA —«
W * ADV ADV,GENR,SIM ¬‰ﬁœ—
W * N N,SING,COM ›‘«—
W * V V,PA,SIM,POS,3 œ«œ
W * CON CON ﬂÂ
W * P P »Â
W * N N,SING,COM,GEN ‘ﬂ·
W * N N,SING,NUM Ìﬂ
W * N N,SING,COM,GEN ê·Ê·ÂÒ
W * N N,SING,COM  ÊÅ
W * V V,PA,SIM,POS,3 œ—¬„œ
W * DELM DELM .
W * CON CON »⁄œ
W * N N,SING,COM,INDF ç«·Â «Ì
W * V V,PA,SIM,POS,3 ﬂ‰œ
W * DELM DELM °
W * N N,SING,COM ’œ«
W * RA RA —«
W * P P œ—
W * PRO PRO,DEMO,SING ¬‰
W * V V,PA,SIM,POS,3 «‰œ«Œ 
W * DELM DELM °
W * N N,SING,COM,AFF,3 —ÊÌ‘
W * RA RA —«
W * P P »«
W * N N,SING,COM Œ«ﬂ
W * V V,PA,SIM,POS,3 ÅÊ‘«‰œ
W * CON CON Ê
W * V V,PA,SIM,POS,3 ê› 
W * DELM DELM :
W * PRO PRO,CON «Ì‰„
W * P P «“
W * N N,SING,COM,AFF,2 ’œ« 
W * DELM DELM !
W * CON CON »⁄œ
W * DELM DELM °
W * N N,SING,COM »“€«·Â
W * RA RA —«
W * CON CON ﬂÂ
W * P P »«
W * N N,SING,COM  —” Ê·—“
W * P P »Â
W * PRO PRO,personal,SING,3 «Ê
W * N N,SING,COM ‰ê«Â
W * V V,PA,PRG,POS,3 „Ì ﬂ—œ
W * DELM DELM °
W * V V,PA,SIM,POS,3 »—œ«‘ 
