Sub * SUBJ SUBJ !ﬁ÷«ÌÌ!
W * DELM DELM #
W * N N,SING,COM,GEN —∆Ì”
W * N N,SING,COM,GEN ﬁÊÂ
W * ADJ ADJ,SIM ﬁ÷«∆ÌÂ
W * DELM DELM :
W * N N,PL,COM,GEN „Ã«“« Â«Ì
W * N N,SING,LOC “‰œ«‰
W * V V,AUX,NIN,POS »«Ìœ
W * N N,SING,COM ﬂ«Â‘
W * V V,SUB,POS,3 Ì«»œ
W * DELM DELM .
W * DELM DELM #
W * N N,SING,COM,GEN —∆Ì”
W * N N,SING,COM,GEN ﬁÊÂ
W * ADJ ADJ,SIM ﬁ÷«∆ÌÂ
W * N N,SING,TIME,GEN —Ê“
W * N N,SING,DAY ”Â ‘‰»Â
W * N N,SING,COM «⁄·«„
W * V V,PA,SIM,POS,3 ﬂ—œ
W * P P œ—
W * N N,SING,COM,GEN  œÊÌ‰
W * N N,PL,COM ﬁÊ«‰Ì‰
W * CON CON Ê
W * N N,PL,COM,GEN „’Ê»« 
W * N N,SING,COM Ã—„
W * CON CON Ê
W * N N,SING,COM Ã“«
W * P P œ—
W * N N,SING,COM,GEN ‰Ÿ«„
W * ADJ ADJ,SIM ﬁ÷«∆Ì
W * DELM DELM °
W * V V,AUX,NIN,POS »«Ìœ
W * N N,PL,COM,GEN „Ã«“« Â«Ì
W * N N,SING,LOC “‰œ«‰
W * N N,SING,COM ﬂ«Â‘
W * V V,SUB,POS,3 Ì«»œ
W * CON CON Ê
W * N N,SING,COM,GEN ﬂ«Â‘
W * N N,SING,COM,GEN „Ã«“« 
W * N N,SING,LOC “‰œ«‰
W * V V,AUX,NIN,POS „Ì »«Ì” Ì
W * P P »Â
W * N N,SING,COM,GEN ⁄‰Ê«‰
W * N N,SING,NUM Ìﬂ
W * N N,SING,COM «’·
W * P P œ—
W * N N,SING,COM,GEN  œÊÌ‰
W * N N,PL,COM ﬁÊ«‰Ì‰
W * N N,SING,COM œ‰»«·
W * V V,SUB,POS,3 ‘Êœ
W * DELM DELM .
W * N N,SING,SURN ¬Ì  «··Â
W * N N,SING,SURN ”Ìœ
W * N N,SING,PR,GEN „Õ„Êœ
W * N N,SING,PR,GEN Â«‘„Ì
W * N N,SING,PR ‘«Â—ÊœÌ
W * P P œ—
W * N N,SING,COM,GEN œÌœ«—
W * N N,SING,COM —∆Ì”
W * CON CON Ê
W * N N,PL,COM,GEN „⁄«Ê‰«‰
W * ADJ ADJ,SIM ” «œÌ
W * CON CON Ê
W * N N,PL,COM,GEN „œÌ—«‰
W * N N,SING,COM,GEN ﬂ·
W * N N,SING,COM,GEN ”«“„«‰
W * N N,PL,LOC “‰œ«‰Â«
W * CON CON Ê
W * N N,PL,COM,GEN «ﬁœ«„« 
W * ADJ ADJ,SIM  «„Ì‰Ì
W * CON CON Ê
W * ADJ ADJ,SIM  —»Ì Ì
W * P P »«
W * PRO PRO,personal,SING,3 ÊÌ
W * V V,PA,SIM,POS,3 «›“Êœ
W * DELM DELM :
W * N N,SING,LOC “‰œ«‰
W * P P œ—
W * N N,SING,COM «”·«„
