Sub * SUBJ SUBJ !œ«” «‰!
W * N N,SING,NUM Ìﬂ
W * N N,SING,TIME,GEN —Ê“
W * ADV ADV,deg,SIM ŒÌ·Ì
W * ADJ ADJ,SIM œ«€
W * DELM DELM °
W * N N,SING,NUM Ìﬂ
W * N N,SING,TIME,GEN —Ê“
W * ADJ ADJ,SIM €„êÌ‰
W * V V,PA,SIM,POS,3 »Êœ
W * DELM DELM .
W * P P «“
W * N N,SING,COM,GEN ŒÊ‰
W * N N,SING,COM ê·
W * DELM DELM °
W * DET DET ¬‰
W * N N,SING,TIME —Ê“
W * N N,SING,NUM Ìﬂ
W * N N,SING,LOC œ‘ 
W * ADJ ADJ,SIM —‰êÌ‰
W * V V,PA,SIM,POS,3 »Êœ
W * DELM DELM °
W * N N,SING,NUM Ìﬂ
W * N N,SING,COM €‰çÂ
W * P P œ—
W * N N,SING,COM ﬁ‰œ«ﬁ
W * P P «“
W * N N,SING,COM  ‘‰êÌ
W * V V,PA,SIM,POS,3 Åé„—œ
W * DELM DELM °
W * N N,SING,COM,INDF Å—Ê«‰Â «Ì
W * V V,PA,SIM,POS,3 ¬„œ
W * PRO PRO,personal,SING,3 «Ê
W * RA RA —«
W * P P «“
W * N N,SING,LOC ¬‰Ã«
W * V V,PA,SIM,POS,3 »—œ
W * DELM DELM °
W * N N,SING,COM,GEN »«“ÊÌ
W * N N,SING,NUM Ìﬂ
W * N N,SING,COM ê·
W * RA RA —«
W * P P «“
W * N N,SING,COM,AFF,3 ‘«ŒÂ «‘
W * V V,PA,SIM,POS,6 çÌœ‰œ
W * DELM DELM °
W * DET DET «Ì‰
W * RA RA —«
W * N N,PL,COM ﬂ»Ê —Â«
W * P P »«
W * N N,SING,COM,GEN ç‘„
W * PRO PRO,R,XOD ŒÊœ
W * V V,PA,SIM,POS,3 œÌœ‰œ
W * DELM DELM °
W * N N,SING,NUM Ìﬂ
W * N N,SING,COM ê·
W * P P œ—
W * DET DET «Ì‰
W * N N,PL,COM ê·Â«
W * ADV ADV,deg,SIM »”Ì«—
W * ADJ ADJ,SIM ŒÊ‘»Ê
W * V V,PA,SIM,POS,3 »Êœ
W * DELM DELM °
W * P P œ—
W * N N,SING,COM,GEN ›ﬂ—
W * QUA QUA Â—
W * N N,SING,COM €‰çÂ
W * ADJ ADJ,SIM »Ì‘
W * P P «“
W * PRO PRO,INDF,SING Â„Â
W * DELM DELM °
W * PRO PRO,personal,SING,3 «Ê
W * V V,PA,SIM,POS,3 »Êœ
W * DELM DELM °
W * P P «“
W * N N,SING,COM ŒÊ‰
W * N N,PL,COM ê·Â«
W * V V,PA,SIM,POS,3 ‘œ
W * ADJ ADJ,SIM —‰êÌ‰
W * DELM DELM °
W * QUA QUA,GEN  „«„
W * N N,SING,LOC,GEN œ‘ 
W * N N,SING,COM ‰›—Ì‰
W * P P »Â
W * N N,SING,COM,INDF œ” Ì
W * CON CON ﬂÂ
W * P P «“
W * N N,SING,COM €‰çÂ
W * CON CON Â„
W * V V,PA,SIM,NEG,3 ‰ê–‘ 
W * DELM DELM !
W * N N,PL,COM,GEN Â„”«ÌÂ Â«Ì
W * N N,SING,COM ¬› «»
W * DELM DELM °
W * N N,SING,COM ‰ÊÌ”‰œÂ
W * DELM DELM :
W * N N,SING,PR,GEN „ÃÌœ
W * N N,SING,PR „·«„Õ„œÌ
W * DELM DELM °
W * N N,SING,COM  ’ÊÌ—ê—
W * DELM DELM :
W * N N,SING,SURN ”Ìœ
W * N N,SING,PR,GEN Õ”‰
W * N N,SING,PR „Ê”Ì “«œÂ
W * DELM DELM °
W * N N,SING,COM,GEN ç«Å
W * ADJ ADJ,ORD «Ê·
W * DELM DELM °
W * N N,SING,NUM 1377
W * DELM DELM °
W * P P,GEN »—«Ì
W * N N,SING,COM,GEN ê—ÊÂ
W * ADJ ADJ,SIM,GEN ”‰Ì
W * N N,SING,NPR œ
W * DELM DELM °
W * N N,SING,COM ‰«‘—
W * DELM DELM :
W * N N,SING,COM,GEN ﬂ«‰Ê‰
W * N N,SING,COM,GEN Å—Ê—‘
W * ADJ ADJ,SIM,GEN ›ﬂ—Ì
W * N N,PL,COM ﬂÊœﬂ«‰
W * CON CON Ê
W * N N,PL,COM ‰ÊÃÊ«‰«‰
W * N N,SING,COM,GEN ‰‘«‰Ì
W * N N,SING,COM ‰«‘—
W * DELM DELM :
W * N N,SING,LOC,PR  Â—«‰
W * DELM DELM °
W * N N,SING,LOC,GEN ŒÌ«»«‰
W * N N,SING,PR ›«ÿ„Ì
W * DELM DELM °
W * N N,SING,LOC,GEN ŒÌ«»«‰
W * N N,SING,COM ÕÃ«»
W * DELM DELM :
W * DET DET «Ì‰
W * N N,SING,COM ﬂ «»
W * ADJ ADJ,SIM,GEN ‘«„·
W * N N,SING,COM “‰œêÌ‰«„Â
W * CON CON Ê
W * N N,PL,COM,GEN Œ«ÿ—« 
W * N N,SING,NUM ‰Â
W * N N,SING,COM ‰›—
W * P P «“
W * N N,PL,COM,GEN ⁄·„«Ì
W * ADJ ADJ,SIM „”·„«‰
