Sub * SUBJ SUBJ !›Â—”  „‰«»⁄!
W * DELM DELM "
W * N N,SING,PR ﬁ»”« 
W * DELM DELM "
W * N N,SING,COM,GEN ÅéÊÂ‘‰«„Â
W * ADJ ADJ,SIM ›’·«‰Â
W * P P œ—
W * N N,SING,COM,GEN ÕÊ“ÂÒ
W * N N,SING,COM ›·”›Â
W * DELM DELM °
W * N N,SING,COM œÌ‰
W * CON CON Ê
W * N N,SING,COM ›—Â‰ê
W * DELM DELM ‹
W * N N,SING,TIME,GEN ”«·
W * N N,SING,NUM 4
W * DELM DELM °
W * N N,SING,COM,GEN ‘„«—Â
W * N N,SING,NUM 4
W * DELM DELM ‹
W * N N,SING,COM ‰‘«‰Ì
W * DELM DELM :
W * N N,SING,LOC,PR  Â—«‰
W * DELM DELM °
W * N N,SING,COM,GEN ’‰œÊﬁ
W * ADJ ADJ,SIM,GEN Å” Ì
W * N N,SING,NUM 44
W * DELM DELM ‹
W * N N,SING,NUM 54131
W * DELM DELM /
W * N N,SING,COM  ·›‰
W * DELM DELM :
W * N N,SING,NUM 8153280
W * DELM DELM °
W * N N,SING,COM,GEN ›Â—” 
W * QUA QUA »—ŒÌ
W * N N,PL,COM „ÿ«·»
W * DELM DELM :
W * N N,PL,COM  „œ‰Â«
W * DELM DELM °
W * N N,PL,COM ›—Â‰êÂ«
W * DELM DELM :
W * N N,SING,COM  ﬁ«»·
W * CON CON Ì«
W * N N,SING,COM  ⁄«„·
W * DELM DELM )
W * N N,SING,COM „Ì“ê—œ
W * DELM DELM (
W * DELM DELM ‹
W * N N,PL,COM,GEN „»«‰Ì
W * ADJ ADJ,SIM,GEN ‰Ÿ—Ì
W * N N,SING,COM,GEN ê› êÊÌ
W * N N,PL,COM  „œ‰Â«
W * DELM DELM ‹
W * N N,SING,COM,GEN «Œ ·«›
W * N N,SING,COM ‰Ÿ—
W * CON CON Ê
W * N N,PL,COM,GEN ‘ÌÊÂ Â«Ì
W * ADJ ADJ,SIM Œ—œ„‰œ«‰Â
W * N N,SING,COM ê›  ÊêÊ
W * DELM DELM ‹
W * N N,SING,COM,GEN  ÃœÌœ
W * N N,SING,COM,GEN ÕÌ« 
W * N N,SING,COM ›—Â‰ê
W * CON CON Ê
W * N N,SING,COM,GEN  „œ‰
W * ADJ ADJ,SIM «”·«„Ì
W * DELM DELM ‹
W * N N,PL,COM,GEN ŒÿÊÿ
W * N N,SING,COM ê”·
W * P P œ—
W * N N,SING,COM,GEN ‰Ÿ—ÌÂÒ
W * N N,SING,COM,GEN »—ŒÊ—œ
W * N N,PL,COM  „œ‰Â«
W * DELM DELM ‹
W * DET DET,I çÂ
W * N N,PL,COM,INDF ﬂ”«‰Ì
W * V V,PRS,POS,6 „Ì  Ê«‰‰œ
W * P P,GEN Ê«—œ
W * N N,SING,COM,GEN ê›  ÊêÊÌ
W * N N,PL,COM  „œ‰Â«
W * V V,SUB,POS,6 ‘Ê‰œ
W * DELM DELM ‹
W * N N,SING,COM,GEN  Â«Ã„
W * ADJ ADJ,SIM ›—Â‰êÌ
W * CON CON Ê
W * N N,SING,COM,GEN ê›  ÊêÊÌ
W * N N,PL,COM  „œ‰Â«
W * DELM DELM °
W * N N,SING,COM ﬂ«„ÅÌÊ —
W * DELM DELM ‹
W * N N,SING,TIME,GEN ”«·
W * N N,SING,NUM 11
W * DELM DELM °
W * N N,SING,COM,GEN ‘„«—Â
W * N N,SING,NUM 27
W * DELM DELM ‹
W * N N,SING,COM ‰‘«‰Ì
W * DELM DELM :
W * N N,SING,LOC,PR  Â—«‰
W * DELM DELM °
W * N N,SING,COM,GEN ’‰œÊﬁ
W * ADJ ADJ,SIM,GEN Å” Ì
W * N N,SING,NUM 195
W * DELM DELM ‹
W * N N,SING,NUM 53341
W * DELM DELM /
W * N N,SING,COM  ·›‰
W * DELM DELM :
W * N N,SING,NUM 8802601
W * DELM DELM /
W * N N,SING,COM ›«ﬂ”
W * DELM DELM :
W * N N,SING,NUM 8891711
W * DELM DELM °
W * N N,SING,COM,GEN ›Â—” 
W * QUA QUA »—ŒÌ
W * N N,PL,COM „ÿ«·»
W * DELM DELM :
W * N N,SING,COM,GEN À» 
W * N N,SING,NFL,GEN ﬂ—œ‰
W * N N,SING,NUM Ìﬂ
W * N N,SING,COM,GEN ‰«„
W * ADJ ADJ,SIM ‘Œ’Ì
W * P P œ—
W * N N,SING,PR «Ì‰ —‰ 
W * DELM DELM ‹
W * ADJ ADJ,SUP Å—ÿ—›œ«— —Ì‰
W * N N,PL,COM,GEN »«“ÌÂ«Ì
W * ADJ ADJ,SIM ﬂ«„ÅÌÊ —Ì
W * DELM DELM ‹
W * N N,SING,COM Å—”‘
W * CON CON Ê
W * N N,SING,COM Å«”Œ
W * P P,GEN œ—»«—ÂÒ
W * N N,SING,PR,GEN ÊÌ‰œÊ“
W * N N,SING,NUM 2000
W * DELM DELM ‹
W * N N,SING,COM,GEN »——”Ì
W * N N,SING,COM,GEN ›—Â‰ê
W * ADJ ADJ,SIM,GEN  ‘—ÌÕÌ
W * N N,SING,GR,GEN Ê«éê«‰
W * ADJ ADJ,SIM „Ê· Ì „œÌ«
W * CON CON Ê
W * N N,SING,PR,GEN «Ì‰ —‰ 
W * DELM DELM °
W * N N,SING,COM œ«‰‘„‰œ
W * DELM DELM ‹
W * N N,SING,TIME,GEN ”«·
W * N N,SING,NUM 83
W * DELM DELM °
W * N N,SING,COM,GEN ‘„«—Â
W * N N,SING,NUM 3
W * DELM DELM °
W * N N,SING,COM,GEN ‘„«—Â
W * ADJ ADJ,SIM ÅÌ«ÅÌ
W * N N,SING,NUM 440
W * DELM DELM ‹
W * N N,SING,COM ‰‘«‰Ì
W * DELM DELM :
W * N N,SING,LOC,PR  Â—«‰
W * DELM DELM °
W * N N,SING,COM,GEN ’‰œÊﬁ
W * ADJ ADJ,SIM,GEN Å” Ì
W * N N,SING,NUM 9463
W * DELM DELM ‹
W * N N,SING,NUM 57851
W * DELM DELM /
W * N N,SING,COM  ·›‰
W * DELM DELM :
W * N N,SING,NUM 8754788
W * DELM DELM °
W * N N,SING,COM ›«ﬂ”
W * DELM DELM :
W * N N,SING,NUM 8754969
W * DELM DELM °
W * N N,SING,COM,GEN ›Â—” 
W * QUA QUA »—ŒÌ
W * N N,PL,COM „ÿ«·»
W * DELM DELM :
W * N N,SING,PR «»‰ ÂÌÀ„
W * DELM DELM :
W * N N,SING,COM,INDF Å«”ŒÌ
W * P P »Â
W * N N,SING,COM,GEN  œ—Ì”
W * N N,PL,COM,GEN ⁄·Ê„
W * ADJ ADJ,SIM ›—«›—Â‰êÌ
W * DELM DELM ‹
W * N N,SING,COM  ÕﬁÌﬁ
W * P P,GEN œ—»«—Â
W * N N,SING,LOC,GEN “—«œŒ«‰Â
W * N N,SING,LOC,PR ¬‰ —«ﬂ”
W * DELM DELM ‹
W * N N,SING,PR ŒÌ«„
W * DELM DELM :
W * N N,SING,COM,GEN —Ì«÷Ì œ«‰
W * ADJ ADJ,SIM,INDF ‰«»€Â «Ì
W * CON CON ﬂÂ
W * ADV ADV,GENR,REPT «“‰Ê
W * V V,AUX,NIN,POS »«Ìœ
W * V V,PA,SIM,POS,3 ‘‰«Œ 
W * DELM DELM ‹
W * N N,SING,COM Ã‰”Ì 
W * CON CON Ê
W * N N,SING,COM  ›ﬂ—
W * DELM DELM ‹
W * N N,SING,COM,GEN Å—Ê ∆Ì‰
W * N N,SING,COM,GEN »—‰«„Â
W * ADJ ADJ,SIM €–«ÌÌ
W * CON CON Ê
W * N N,SING,PR,GEN ﬂ·” —Ê·
W * N N,SING,COM ”—„
W * DELM DELM ‹
W * DET DET,I çÂ
W * N N,SING,COM,INDF ﬂ”Ì
W * N N,SING,COM,GEN „À·À
W * N N,SING,COM,INDF Õ”«»Ì
W * N N,SING,PR Å«”ﬂ«·
W * RA RA —«
W * N N,SING,COM ﬂ‘›
W * V V,PA,SIM,POS,3 ﬂ—œ
W * DELM DELM ø
W * DELM DELM ‹
W * N N,SING,COM,GEN ›—” ‰œÂÒ
W * ADJ ADJ,SIM ﬂ„ ﬁœ— 
W * N N,SING,GR,GEN »«‰œ
W * ADJ ADJ,SIM,GEN »«—Ìﬂ
W * N N,SING,LAT FM
W * DELM DELM .
Sub * SUBJ SUBJ !«ﬁ ’«œÌ!
W * N N,SING,LOC,PR „‘Âœ
W * DELM DELM ‹
W * N N,SING,COM,GEN „œÌ—⁄«„·
W * N N,SING,COM,GEN  ⁄«Ê‰Ì
W * N N,SING,COM ê·
W * CON CON Ê
W * N N,SING,COM,GEN êÌ«Â
W * N N,SING,LOC,GEN «” «‰
W * N N,SING,LOC,PR Œ—«”«‰
W * V V,PA,SIM,POS,3 ê› 
W * DELM DELM :
W * ADV ADV,GENR,TIME ”«·«‰Â
W * N N,SING,NUM Ìﬂ
W * N N,SING,NUM „Ì·ÌÊ‰
W * N N,SING,CONT ‘«ŒÂ
W * N N,PL,COM,GEN «‰Ê«⁄
W * N N,SING,COM ê·
W * P P œ—
W * DET DET «Ì‰
W * N N,SING,LOC «” «‰
W * N N,SING,COM  Ê·Ìœ
W * V V,PRS,POS,3 „Ì ‘Êœ
W * DELM DELM .
W * N N,SING,PR,GEN Õ”Ì‰
W * N N,SING,PR ”⁄ÌœÌ
W * V V,PA,SIM,POS,3 ê› 
W * DELM DELM :
W * DET DET «Ì‰
W * SPEC SPEC „Ì“«‰
W * N N,SING,COM ê·
W * P P œ—
W * N N,SING,COM,GEN ”ÿÕ
W * N N,SING,NUM 85
W * N N,SING,CONT Âﬂ «—
W * N N,SING,LOC,GEN „“—⁄Â
W * ADJ ADJ,SIM,GEN ê·Œ«‰Â «Ì
W * N N,SING,COM,GEN  Ê·Ìœ
W * N N,SING,COM ê·
W * CON CON Ê
W * N N,SING,COM,GEN êÌ«Â
W * ADJ ADJ,SIM  “∆Ì‰Ì
W * DELM DELM °
W * N N,SING,COM Å—Ê—‘
W * V V,PRS,POS,6 „Ì Ì«»‰œ
W * DELM DELM .
W * PRO PRO,personal,SING,3 ÊÌ
W * V V,PA,SIM,POS,3 «›“Êœ
W * DELM DELM :
W * ADV ADV,GENR,TIME  «ﬂ‰Ê‰
W * N N,SING,NUM 100
W * N N,SING,COM,GEN êÊ‰Â
W * ADJ ADJ,SIM  “∆Ì‰Ì
W * DELM DELM °
W * ADJ ADJ,SIM ¬Å«— „«‰Ì
W * DELM DELM °
W * N N,PL,COM,GEN œ—Œ çÂ Â«Ì
W * ADJ ADJ,SIM “Ì‰ Ì
W * DELM DELM °
W * ADJ ADJ,SIM ”Ê“‰Ì
W * CON CON Ê
W * N N,SING,COM ﬂ«ﬂ Ê”
W * P P œ—
W * DET DET «Ì‰
W * N N,PL,COM „—«ﬂ“
W * N N,SING,COM  Ê·Ìœ
W * V V,PA,NAR,POS,6 ‘œÂ «‰œ
W * DELM DELM .
W * PRO PRO,personal,SING,3 ÊÌ
W * V V,PA,SIM,POS,3 «›“Êœ
W * DELM DELM :
W * P P œ—
W * N N,SING,COM,GEN ‰Ì„Â
W * ADJ ADJ,ORD,GEN œÊ„
W * N N,SING,TIME,GEN ”«·
W * N N,SING,COM ê–‘ Â
W * DELM DELM °
W * N N,SING,NUM 370
W * N N,SING,NUM Â“«—
W * N N,SING,CONT ‘«ŒÂ
W * N N,SING,COM,GEN ê·
W * ADJ ADJ,SIM “Ì‰ Ì
W * P P »Â
W * N N,SING,COM,GEN «—“‘
W * N N,SING,NUM 600
W * N N,SING,NUM „Ì·ÌÊ‰
W * N N,SING,CONT —Ì«·
W * P P «“
W * N N,SING,LOC,PR Œ—«”«‰
W * P P »Â
W * N N,PL,LOC,GEN ﬂ‘Ê—Â«Ì
W * N N,SING,LOC,PR,GEN ¬”Ì«Ì
W * ADJ ADJ,SIM „Ì«‰Â
W * ADJ ADJ,SIM ’«œ—
W * V V,PA,SIM,POS,3 ‘œ
W * DELM DELM .
W * N N,SING,LOC,PR —‘ 
W * DELM DELM ‹
W * N N,SING,COM,GEN —∆Ì”
W * N N,SING,COM,GEN ”«“„«‰
W * N N,SING,COM,GEN ﬂ‘«Ê—“Ì
W * N N,SING,LOC,GEN «” «‰
W * N N,SING,LOC,PR êÌ·«‰
W * V V,PA,SIM,POS,3 ê› 
W * DELM DELM :
W * N N,SING,COM,GEN ﬂ«—
W * N N,SING,COM ‰‘«¡
W * N N,SING,COM »—‰Ã
W * P P œ—
W * N N,PL,LOC,GEN „“«—⁄
W * N N,SING,COM,GEN ‘«·Ì“«—Ì
W * N N,SING,LOC «” «‰
W * P P œ—
W * N N,SING,TIME,GEN Â› Â
W * ADJ ADJ,SIM Ã«—Ì
W * P P »Â
W * N N,SING,ORD Å«Ì«‰
W * ADJ ADJ,INO —”ÌœÂ
W * V V,PRE,SIM «” 
W * DELM DELM .
W * N N,SING,PR „Õ„œ—÷«
W * N N,SING,PR ÿ«Â—“«œÂ
W * V V,PA,SIM,POS,3 «›“Êœ
W * DELM DELM :
W * N N,SING,COM,GEN ﬂ«—
W * N N,SING,COM,GEN «‰ ﬁ«·
W * N N,SING,COM ‰‘«¡
W * P P «“
W * N N,SING,COM Œ“«‰Â
W * P P »Â
W * N N,PL,COM,GEN “„Ì‰Â«Ì
W * N N,SING,LOC,GEN ‘«·Ì“«—
W * N N,SING,COM ¬»
W * N N,SING,COM  Œ 
W * MORP MORP,MADJ ‘œÂ
W * P P «“
W * N N,PL,ORD,GEN «Ê«”ÿ
W * N N,SING,MON ›—Ê—œÌ‰
W * N N,SING,TIME „«Â
W * N N,SING,COM ‘—Ê⁄
W * ADJ ADJ,INO ‘œÂ
W * V V,PA,SIM,POS,3 »Êœ
W * DELM DELM .
W * PRO PRO,personal,SING,3 ÊÌ
W * V V,PA,SIM,POS,3 ê› 
W * DELM DELM :
W * N N,PL,COM,GEN ﬂ‘«Ê—“«‰
W * ADJ ADJ,SIM,GEN ‘«·Ìﬂ«—
W * N N,SING,LOC,PR êÌ·«‰
W * ADV ADV,GENR,TIME «„”«·
W * N N,SING,NUM 230
W * N N,SING,NUM Â“«—
W * N N,SING,COM Âﬂ «—
W * P P «“
W * N N,PL,COM,GEN “„Ì‰Â«Ì
W * ADJ ADJ,SIM Ã·êÂ «Ì
W * CON CON Ê
W * ADJ ADJ,SIM,GEN ¬»—› Ì
W * N N,SING,LOC «” «‰
W * RA RA —«
W * P P »Â
W * N N,SING,COM,GEN “Ì—
W * N N,SING,COM,GEN ﬂ‘ 
W * N N,PL,COM,GEN «‰Ê«⁄
W * N N,PL,COM,GEN êÊ‰Â Â«Ì
W * N N,SING,COM »—‰Ã
W * V V,PA,NAR,POS,6 »—œÂ «‰œ
W * DELM DELM .
W * N N,SING,PR ÿ«Â—“«œÂ
W * V V,PA,SIM,POS,3 ê› 
W * DELM DELM :
W * ADV ADV,GENR,TIME «„”«·
W * P P œ—
W * N N,SING,COM,GEN “„Ì‰Â
W * N N,SING,COM,GEN  «„Ì‰
W * N N,SING,COM,GEN ¬»
W * N N,SING,COM ﬂ‘«Ê—“Ì
W * N N,SING,COM,INDF ﬂ„»ÊœÌ
W * N N,SING,COM ÊÃÊœ
W * V V,PRS,NEG,3 ‰œ«—œ
W * CON CON Ê
W * N N,SING,TIME,GEN ”«·
W * ADJ ADJ,SIM,INDF Å—„Õ’Ê·Ì
W * P P,GEN »—«Ì
W * N N,SING,COM,GEN ﬂ‘«Ê—“Ì
W * N N,SING,LOC,GEN «” «‰
W * N N,SING,LOC,PR êÌ·«‰
W * P P œ—
W * N N,SING,COM —«Â
W * V V,PRE,SIM «” 
W * DELM DELM .
W * N N,SING,COM,GEN —∆Ì”
W * N N,SING,COM,GEN ”«“„«‰
W * N N,SING,COM,GEN ﬂ‘«Ê—“Ì
W * N N,SING,LOC,PR êÌ·«‰
W * V V,PA,SIM,POS,3 «›“Êœ
W * DELM DELM :
W * N N,SING,COM ÅÌ‘ »Ì‰Ì
W * V V,PRS,POS,3 „Ì ‘Êœ
