Sub * SUBJ SUBJ !”Ì«”Ì!
W * N N,SING,SURN ¬Ì  «··Â
W * N N,SING,PR,GEN Â«‘„Ì
W * N N,SING,PR —›”‰Ã«‰Ì
W * DELM DELM °
W * N N,SING,COM,GEN —∆Ì”
W * N N,SING,COM,GEN „Ã„⁄
W * N N,SING,COM,GEN  ‘ŒÌ’
W * N N,SING,COM,GEN „’·Õ 
W * N N,SING,COM ‰Ÿ«„
W * DELM DELM °
W * N N,SING,TIME,GEN —Ê“
W * N N,SING,DAY çÂ«—‘‰»Â
W * N N,SING,COM  √ﬂÌœ
W * V V,PA,SIM,POS,3 ﬂ—œ
W * DELM DELM :
W * N N,SING,COM ’œ«ﬁ 
W * P P œ—
W * N N,SING,COM «„«‰ 
W * CON CON Ê
W * N N,SING,COM ﬂ«—
W * ADJ ADJ,SUP „Â„ —Ì‰
W * N N,SING,COM ⁄«„·
W * P P œ—
W * N N,SING,COM,GEN ﬂ«—
W * N N,PL,COM,GEN ‰‘—Ì« 
W * N N,SING,LOC ﬂ‘Ê—
W * V V,PRE,SIM «” 
W * DELM DELM .
W * PRO PRO,personal,SING,3 ÊÌ
W * CON CON ﬂÂ
W * P P œ—
W * N N,SING,COM,GEN œÌœ«—
W * N N,PL,COM,GEN „”∆Ê·«‰
W * ADJ ADJ,SIM,GEN œ«‰‘ÃÊÌÌ
W * N N,SING,LOC,GEN œ«‰‘ê«Â
W * ADJ ADJ,SIM,GEN ¬“«œ
W * ADJ ADJ,SIM,GEN «”·«„Ì
W * N N,SING,COM,GEN ”—«”—
W * N N,SING,LOC ﬂ‘Ê—
W * N N,SING,COM ”Œ‰
W * V V,PA,PRG,POS,3 „Ì ê› 
W * V V,PA,SIM,POS,3 «›“Êœ
W * DELM DELM :
W * QUA QUA Â—
W * N N,SING,COM ‰Ê‘ Â
W * P P œ—
W * N N,PL,COM ‰‘—Ì« 
W * N N,SING,COM,INDF ”‰œÌ
W * V V,PRE,SIM «” 
W * CON CON ﬂÂ
W * P P œ—
W * N N,SING,COM  «—ÌŒ
W * V V,PRS,POS,3 „Ì „«‰œ
W * CON CON Ê
W * N N,PL,COM,GEN «›ﬂ«—
W * ADJ ADJ,SIM ⁄„Ê„Ì
W * RA RA —«
W * N N,SING,COM ‘ﬂ·
W * V V,PRS,POS,3 „Ì œÂœ
W * CON CON Ê
W * IF IF «ê—
W * N N,SING,COM ’œ«ﬁ 
W * P P œ—
W * N N,SING,COM œ—Ì«› 
W * CON CON Ê
W * N N,SING,COM,GEN «‰ ﬁ«·
W * N N,PL,COM „ÿ«·»
W * N N,SING,COM —⁄«Ì 
W * V V,SUB,NEG,3 ‰‘Êœ
W * DELM DELM °
W * N N,SING,COM ⁄·«ÊÂ
W * P P »—
W * ADJ ADJ,SIM »Ì «⁄ »«—
W * N N,SING,NFL,GEN ‘œ‰
W * N N,SING,COM ‰‘—ÌÂ
W * DELM DELM °
W * N N,PL,COM,GEN «›ﬂ«—
W * ADJ ADJ,SIM ⁄„Ê„Ì
W * CON CON ‰Ì“
W * ADJ ADJ,SIM ê„—«Â
W * V V,PRS,POS,3 „Ì ‘Êœ
W * CON CON Ê
W * ADJ ADJ,SIM ê„—«Â
W * N N,SING,NFL,GEN ﬂ—œ‰
W * N N,SING,COM Ã«„⁄Â
W * N N,SING,COM,INDF ê‰«ÂÌ
W * ADJ ADJ,SIM »“—ê
W * CON CON Ê
W * ADJ ADJ,SIM ‰«»Œ‘Êœ‰Ì
W * P P œ—
W * N N,SING,COM,GEN ‰“œ
W * N N,SING,COM Œœ«Ê‰œ
W * V V,PRE,SIM «” 
W * DELM DELM .
W * DELM DELM !
W * ADJ ADJ,SIM ”Ì«”Ì
W * DELM DELM !
W * P P »Â
W * N N,SING,COM,GEN ê“«—‘
W * N N,PL,COM —Ê«»ÿ
W * ADJ ADJ,SIM,GEN ⁄„Ê„Ì
W * N N,SING,COM,GEN „Ã„⁄
W * N N,SING,COM,GEN  ‘ŒÌ’
W * N N,SING,COM „’·Õ 
W * DELM DELM °
W * N N,SING,COM,GEN —∆Ì”
W * N N,SING,COM,GEN „Ã„⁄
W * N N,SING,COM,GEN  ‘ŒÌ’
W * N N,SING,COM,GEN „’·Õ 
W * N N,SING,COM ‰Ÿ«„
W * P P »«
W * N N,SING,COM,GEN  ”·Ì 
W * N N,PL,TIME,GEN «Ì«„
W * N N,SING,COM,GEN ”ÊêÊ«—Ì
W * N N,SING,PR,GEN —”Ê·
W * ADJ ADJ,SIM «ﬂ—„
W * DELM DELM )
