Sub * SUBJ SUBJ ! «—ÌŒÌ!
W * N N,SING,PR „”⁄ÊœÌ
W * N N,SING,COM,GEN „Ê—Œ
W * ADJ ADJ,SIM,GEN »“—ê
W * ADJ ADJ,SIM «”·«„Ì
W * V V,PRS,POS,3 „Ì êÊÌœ
W * DELM DELM :
W * N N,PL,COM «Ì—«‰Ì«‰
W * P P «“
W * QUA QUA Â—
W * N N,SING,COM,INDF ﬁÊ„Ì
W * ADJ ADJ,SIM œÌê—
W * V V,PRE,ADJC,6 ”“«Ê«— —‰œ
W * CON CON ﬂÂ
W * N N,PL,COM œ«‰‘Â«
W * P P «“
W * PRO PRO,personal,PL,3 ¬‰«‰
W * ADJ ADJ,INO ›—«ê—› Â
W * V V,SUB,POS,3 ‘Êœ
W * DELM DELM °
W * CON CON Â—ç‰œ
W * CON CON ﬂÂ
W * N N,PL,COM,GEN «Œ»«—
W * PRO PRO,personal,PL,3 ¬‰«‰
W * ADJ ADJ,SIM ﬂÂ‰Â
W * CON CON Ê
W * N N,PL,COM „‰«ﬁ»
W * CON CON Ê
W * N N,PL,COM,AFF,6 —”Ê„‘«‰
W * P P »«
W * N N,SING,COM,GEN ê–‘ 
W * N N,SING,COM “„«‰
W * CON CON Ê
W * N N,PL,COM,GEN ÕÊ«œÀ
W * N N,SING,COM —Ê“ê«—
W * ADJ ADJ,SIM ›—«„Ê‘
W * ADJ ADJ,INO ê‘ Â
W * V V,PRE,SIM «” 
W * DELM DELM .
W * N N,SING,COM,GEN „—«œ
W * PRO PRO,personal,SING,3 «Ê
W * P P «“
W * N N,PL,COM,GEN ÕÊ«œÀ
W * N N,SING,COM —Ê“ê«—
W * P P »Â
W * N N,SING,COM,GEN «Õ „«·
W * ADJ ADJ,SIM ﬁÊÌ
W * N N,SING,COM,GEN Õ„·ÂÒ
W * N N,SING,PR «”ﬂ‰œ—
W * P P »Â
W * N N,SING,LOC,PR «Ì—«‰
W * V V,PRE,SIM «” 
W * CON CON ﬂÂ
W * P P œ—
W * N N,PL,COM —Ê«Ì« 
W * ADJ ADJ,INO ¬„œÂ
W * CON CON ﬂÂ
W * DELM DELM :
W * PRO PRO,personal,SING,3 «Ê
W * N N,PL,COM,GEN ﬂ «»Â«Ì
W * N N,SING,COM,GEN œÌ‰
W * N N,SING,COM „ÃÊ”
W * RA RA —«
W * V V,PA,SIM,POS,3 ”Ê“«‰œ
W * CON CON Ê·Ì
W * N N,PL,COM,GEN ﬂ «»Â«Ì
W * N N,SING,COM ‰ÃÊ„
W * CON CON Ê
W * N N,SING,COM ÿ»
W * CON CON Ê
W * N N,SING,COM,GEN ›·”›Â
W * PRO PRO,personal,PL,3 ¬‰«‰
W * RA RA —«
W * P P »Â
W * N N,SING,COM,GEN “»«‰
W * ADJ ADJ,SIM ÌÊ‰«‰Ì
W * N N,SING,COM  —Ã„Â
W * V V,PA,SIM,POS,3 ﬂ—œ
W * DELM DELM .
W * N N,SING,COM,GEN »Ì 
W * ADJ ADJ,SIM “Ì—
W * P P «“
W * N N,SING,PR,GEN ‰Ÿ«„Ì
W * N N,SING,PR ê‰ÃÊÌ
W * P P »Â
W * DET DET ¬‰
W * N N,SING,COM Õ«œÀÂ
W * CON CON Ê
W * N N,SING,COM,GEN  —Ã„ÂÒ
W * N N,PL,COM,GEN ⁄·Ê„
W * N N,SING,LOC,PR «Ì—«‰
W * P P »Â
W * N N,SING,COM,GEN “»«‰
W * ADJ ADJ,SIM ÌÊ‰«‰Ì
W * N N,SING,COM «‘«— 
W * V V,PRS,POS,3 œ«—œ
W * DELM DELM :
W * SUBJ SUBJ !!!
W * N N,PL,COM Œ—œ‰«„Â Â«
W * RA RA —«
W * P P,GEN “
W * N N,SING,COM,GEN ·›Ÿ
W * ADJ ADJ,SIM œ—Ì
W * P P »Â
W * N N,SING,LOC,PR ÌÊ‰«‰
W * N N,SING,COM “»«‰
W * V V,PA,SIM,POS,3 ﬂ—œ
W * N N,SING,COM ﬂ”Ê  ê—Ì
W * SUBJ SUBJ !!!
W * P P »«
W * N N,SING,COM,GEN ÊÃÊœ
W * PRO PRO,DEMO,SING «Ì‰
W * N N,PL,COM «Ì—«‰Ì«‰
W * P P «“
W * N N,SING,COM Õ›Ÿ
W * CON CON Ê
W * N N,SING,COM,GEN ‰êÂœ«—Ì
W * N N,SING,COM,GEN »«“„«‰œÂÒ
W * N N,SING,COM,GEN „Ì—«À
W * ADJ ADJ,SIM,GEN ⁄·„Ì
W * PRO PRO,R,XOD ŒÊœ
W * N N,SING,COM œ—Ì€
W * V V,PA,SIM,NEG,6 ‰Ê—“Ìœ‰œ
W * CON CON Ê
W * PRO PRO,DEMO,SING ¬‰
W * RA RA —«
W * P P œ—
W * N N,PL,COM,GEN „ﬂ«‰Â«Ì
W * ADJ ADJ,SIM «„‰
W * N N,SING,COM ‰êÂ
W * V V,PA,SIM,POS,6 œ«‘ ‰œ
W * DELM DELM .
W * N N,SING,PR „”⁄ÊœÌ
W * P P œ—
W * N N,SING,TIME,GEN ”«·
W * N N,SING,NUM 303
W * ADJ ADJ,SIM ÂÃ—Ì
W * P P œ—
W * N N,SING,LOC,GEN ‘Â—
W * N N,SING,LOC,PR,GEN «” Œ—
W * N N,SING,LOC,PR ›«—”
W * N N,SING,COM,GEN ‰“œ
W * N N,SING,NUM,INDF ÌﬂÌ
W * P P «“
W * N N,PL,COM Œ«‰œ«‰Â«Ì
W * ADJ ADJ,SIM,GEN ﬂÂ‰
W * ADJ ADJ,SIM «Ì—«‰Ì
W * N N,SING,COM,GEN ﬂ «»
W * ADJ ADJ,SIM,INDF »“—êÌ
W * RA RA —«
W * V V,PA,NAR,POS,3 œÌœÂ
W * CON CON ﬂÂ
W * QUA QUA »”Ì«—Ì
W * P P «“
W * N N,PL,COM ⁄·Ê„
W * N N,PL,COM «Ì—«‰Ì«‰
W * RA RA —«
W * P P œ—
W * P P »—
W * ADJ ADJ,INO œ«‘ Â
W * CON CON Ê
W * N N,SING,PR,GEN «»‰
W * N N,SING,PR ÕÊﬁ·
W * P P «“
W * N N,SING,LOC,PR ﬁ·⁄…«·Ã’
W * DELM DELM °
W * ADJ ADJ,SIM,GEN œÌ—
W * ADJ ADJ,SIM êçÌ‰
W * P P «“
W * N N,PL,COM,GEN ‰Ê«ÕÌ
W * N N,SING,LOC,PR,GEN «—Ã«‰
W * N N,SING,LOC,PR ›«—”
W * N N,SING,COM Ì«œ
W * V V,PRS,POS,3 „Ì ﬂ‰œ
W * CON CON ﬂÂ
W * P P œ—
W * ADV ADV,GENR,LOC ¬‰Ã«
W * N N,PL,COM „ÃÊ”
W * N N,SING,COM ”«ﬂ‰
W * V V,PA,NAR,POS,6 »ÊœÂ «‰œ
W * CON CON Ê
W * P P »Â
W * N N,SING,COM œ—”
W * CON CON Ê
W * N N,SING,COM,GEN »ÕÀ
W * N N,PL,COM,GEN Ì«œê«—Â«Ì
W * ADJ ADJ,SIM,GEN ⁄·„Ì
W * PRO PRO,R,XOD ŒÊœ
W * V V,PA,PNAR,POS,6 „Ì Å—œ«Œ Â «‰œ
W * DELM DELM .
W * N N,PL,COM „”·„«‰«‰
W * P P œ—
W * N N,SING,COM,GEN “„«‰
W * N N,SING,PR „√„Ê‰
W * P P »«
W * N N,SING,COM,GEN  √”Ì”
W * N N,SING,COM »Ì  «·Õﬂ„…
W * N N,PL,COM,GEN Ê”«Ì·
W * N N,SING,COM,GEN  —Ã„ÂÒ
W * N N,PL,COM,GEN ⁄·Ê„
W * N N,SING,ORD «Ê«Ì·
W * DELM DELM °
W * N N,PL,COM,GEN ⁄·Ê„
W * ADJ ADJ,SIM ÌÊ‰«‰Ì
W * RA RA —«
W * P P «“
W * N N,SING,COM ÌÊ‰«‰Ì
W * CON CON Ê
W * N N,SING,COM ”—Ì«‰Ì
W * P P »Â
W * N N,SING,COM ⁄—»Ì
W * N N,SING,COM ›—«Â„
W * V V,PA,SIM,POS,6 ”«Œ ‰œ
W * CON CON Ê
W * QUA QUA »”Ì«—Ì
W * P P «“
W * N N,PL,COM,GEN ¬À«—
W * ADJ ADJ,SIM,GEN ⁄·„Ì
W * PRO PRO,personal,PL,3 ¬‰«‰
W * P P œ—
W * N N,PL,COM,GEN “„Ì‰Â Â«Ì
W * ADJ ADJ,SIM,GEN „Œ ·›
W * N N,PL,COM ⁄·Ê„
W * P P œ—
W * N N,SING,COM,GEN œ” —”
W * N N,PL,COM,GEN œ«‰‘„‰œ«‰
W * ADJ ADJ,SIM «”·«„Ì
W * N N,SING,COM ﬁ—«—
W * V V,PA,SIM,POS,3 ê—› 
W * CON CON Ê
W * P P »Â
W * N N,SING,COM,GEN „Ê«“« 
W * PRO PRO,DEMO,SING ¬‰
W * P P œ—
W * N N,PL,COM,GEN ‰Ê«ÕÌ
W * ADJ ADJ,SIM,GEN „Œ ·›
W * N N,SING,LOC,PR «Ì—«‰
W * N N,PL,COM,INDF „—«ﬂ“Ì
W * P P,GEN »—«Ì
W * N N,SING,COM  ÕﬁÌﬁ
W * CON CON Ê
W * N N,SING,COM,GEN »——”Ì
W * N N,SING,COM ⁄·„
W * CON CON Ê
W * N N,SING,COM œ«‰‘
W * N N,SING,COM ›—«Â„
W * V V,PA,SIM,POS,3 ¬„œ
W * P P «“
W * N N,SING,COM Ã„·Â
W * N N,SING,LOC,GEN Œ«‰ÂÒ
W * N N,SING,COM Õﬂ„ 
W * P P œ—
W * N N,SING,LOC,PR »·Œ
W * CON CON ﬂÂ
W * N N,SING,PR ‰«’—Œ”—Ê
W * P P œ—
W * N N,SING,COM,GEN »Ì 
W * ADJ ADJ,SIM “Ì—
W * P P »Â
W * PRO PRO,DEMO,SING ¬‰
W * N N,SING,COM «‘«—Â
W * ADJ ADJ,INO ﬂ—œÂ
W * V V,PRE,SIM «” 
W * DELM DELM :
W * SUBJ SUBJ !!!
W * N N,SING,COM Õﬂ„ 
W * RA RA —«
W * N N,SING,LOC Œ«‰Â
W * N N,SING,LOC,PR »·Œ
W * V V,PA,SIM,POS,3 »Êœ
W * CON CON Ê
W * ADV ADV,GENR,TIME ﬂ‰Ê‰
W * N N,SING,LOC,AFF,3 Œ«‰Â «‘
W * ADJ ADJ,SIM ÊÌ—«‰
W * CON CON Ê
W * N N,SING,COM »Œ 
W * ADJ ADJ,SIM Ê«—Ê‰
W * V V,PA,SIM,POS,3 ‘œ
W * SUBJ SUBJ !!!
W * PRO PRO,DEMO,SING «Ì‰
W * N N,SING,COM,GEN  ·«ﬁÌ
W * N N,PL,COM ›—Â‰êÂ«
W * CON CON Ê
W * N N,SING,COM ‰ﬁ·
W * CON CON Ê
W * N N,SING,COM,GEN «‰ ﬁ«·
W * N N,PL,COM œ«‰‘Â«
W * N N,SING,COM,GEN „ÊÃ»
W * N N,SING,COM ‘ﬂÊ›«∆Ì
W * CON CON Ê
W * N N,SING,COM,GEN ÅÌ‘—› 
W * N N,SING,COM œ«‰‘
W * P P œ—
W * N N,PL,COM,GEN ﬁ—Ê‰
W * ADJ ADJ,SIM,GEN «Ê·ÌÂÒ
W * N N,SING,COM «”·«„
W * V V,PA,SIM,POS,3 ‘œ
W * CON CON Ê
W * N N,PL,COM,INDF œ«‰‘„‰œ«‰Ì
W * ADV ADV,GENR,EXM,GEN „«‰‰œ
W * N N,SING,PR —«“Ì
W * CON CON Ê
W * N N,SING,PR »Ì—Ê‰Ì
W * CON CON Ê
W * N N,SING,PR ›«—«»Ì
W * CON CON Ê
W * N N,SING,PR,GEN «»‰
W * N N,SING,PR ”Ì‰«
W * N N,SING,COM ŸÂÊ—
W * V V,PA,SIM,POS,6 ﬂ—œ‰œ
W * CON CON Ê
W * QUA QUA Â—
W * DET DET,I ﬂœ«„
W * P P »«
W * N N,SING,COM «” ›«œÂ
W * P P «“
W * N N,SING,COM,GEN „Ì—«À
W * ADJ ADJ,SIM,GEN ⁄·„Ì
W * ADJ ADJ,SIM «’Ì·
W * CON CON Ê
W * ADJ ADJ,SIM,GEN œŒÌ·
W * ADJ ADJ,SIM „ÊÃÊœ
W * DELM DELM °
W * N N,PL,COM,GEN ¬À«—
W * ADJ ADJ,SIM,INDF ê—«‰»Â«ÌÌ
W * P P »Â
W * N N,SING,COM Ì«œê«—
W * V V,PA,SIM,POS,6 ê–«‘ ‰œ
W * CON CON ﬂÂ
W * N N,SING,COM Å«ÌÂ
W * CON CON Ê
W * N N,SING,COM,GEN „«ÌÂÒ
W * N N,SING,COM,GEN œ«‰‘
W * ADJ ADJ,SIM ÃœÌœ
W * P P œ—
W * N N,PL,TIME,GEN ﬁ—‰Â«Ì
W * ADJ ADJ,SIM »⁄œ
W * V V,PA,SIM,POS,3 ê—œÌœ
W * DELM DELM .
W * N N,PL,COM ÅÌ‘Ì‰Ì«‰
W * N N,SING,COM ›·”›Â
W * RA RA —«
W * P P œ—
W * N N,SING,COM,GEN  ﬁ”Ì„
W * ADJ ADJ,SUP ‰Œ” Ì‰
W * P P »Â
W * N N,SING,NUM œÊ
W * N N,SING,COM,GEN ﬁ”„
W * ADJ ADJ,SIM ‰Ÿ—Ì
W * CON CON Ê
W * ADJ ADJ,SIM ⁄„·Ì
W * N N,SING,COM  ﬁ”Ì„
W * V V,PA,PRG,POS,6 „Ì ﬂ—œ‰œ
W * DELM DELM .
W * N N,SING,COM,GEN ›·”›ÂÒ
W * ADJ ADJ,SIM ‰Ÿ—Ì
W * P P »Â
W * ADJ ADJ,SIM ÿ»Ì⁄Ì
W * CON CON Ê
W * ADJ ADJ,SIM  ⁄·Ì„Ì
W * MS MS =
W * N N,SING,COM —Ì«÷Ì
W * CON CON Ê
W * ADJ ADJ,SIM «·ÂÌ
W * N N,SING,COM  ﬁ”Ì„
W * V V,PA,PRG,POS,3 „Ì ê‘ 
W * CON CON Ê
W * N N,SING,COM Õ”«»
W * CON CON Ê
W * N N,SING,COM Â‰œ”Â
