Sub * SUBJ SUBJ !›Â—”  „ÿ«·»!
W * N N,PL,COM,GEN  «“Â Â«Ì
W * N N,SING,COM «ﬁ ’«œ
W * DELM DELM ª
W * N N,SING,COM,GEN „«Â‰«„Â
W * ADJ ADJ,SIM ⁄·„Ì
W * DELM DELM °
W * ADJ ADJ,SIM «ﬁ ’«œÌ
W * CON CON Ê
W * ADJ ADJ,SIM »«‰ﬂÌ
W * DELM DELM ´
W * N N,SING,COM,GEN ‘„«—Â
W * N N,SING,NUM 89
W * N N,SING,COM ‰‘«‰Ì
W * DELM DELM :
W * N N,SING,LOC,PR  Â—«‰
W * DELM DELM °
W * N N,SING,COM,GEN ’‰œÊﬁ
W * ADJ ADJ,SIM,GEN Å” Ì
W * N N,SING,NUM 1148
W * DELM DELM -
W * N N,SING,NUM 16765
W * N N,SING,COM  ·›‰
W * DELM DELM :
W * N N,SING,NUM 2855608
W * DELM DELM /
W * N N,SING,COM ›«ﬂ”
W * DELM DELM :
W * N N,SING,NUM 2855637
W * N N,SING,COM,GEN ›Â—” 
W * QUA QUA »—ŒÌ
W * N N,PL,COM „ÿ«·»
W * DELM DELM :
W * N N,SING,COM  Ã«— 
W * P P »Â
W * ADV ADV,GENR,EXM,GEN „À«»ÂÒ
W * N N,SING,COM,GEN ‰Ì—ÊÌ
W * N N,SING,COM,GEN —‘œ
W * N N,SING,LOC,PR ¬›—Ìﬁ«
W * DELM DELM -
W * N N,SING,LOC,PR Œ«Ê—„Ì«‰Â
W * DELM DELM :
W * N N,PL,COM,INDF ê«„Â«ÌÌ
W * P P,GEN »—«Ì
W * N N,SING,COM  Ê”⁄Â
W * DELM DELM -
W * N N,SING,COM,GEN »«“«—
W * N N,SING,COM,GEN ‰› 
W * ADJ ADJ,SIM,GEN Œ«„
W * N N,SING,COM,GEN ”«“„«‰
W * N N,PL,LOC,GEN ﬂ‘Ê—Â«Ì
W * ADJ ADJ,SIM,GEN ’«œ—ﬂ‰‰œÂ
W * N N,SING,COM ‰› 
W * DELM DELM ª
W * N N,SING,NPR «ÊÅﬂ
W * DELM DELM ´
W * P P œ—
W * N N,SING,TIME,GEN „«Â
W * N N,SING,MON,GEN ›Ê—ÌÂ
W * N N,SING,NUM 2000
W * DELM DELM -
W * N N,SING,COM,GEN ⁄„·ﬂ—œ
W * N N,PL,COM,GEN ’«œ—« 
W * N N,PL,COM,GEN „Õ’Ê·« 
W * P P,GEN  Õ 
W * N N,SING,COM,GEN ÅÊ‘‘
W * N N,SING,COM,GEN Ê“«— 
W * N N,PL,COM ’‰«Ì⁄
W * P P œ—
W * N N,SING,COM,GEN ‰Ì„Â
W * ADJ ADJ,ORD,GEN ‰Œ” 
W * N N,SING,TIME,GEN ”«·
W * N N,SING,NUM 1378
W * DELM DELM -
W * N N,SING,COM,GEN ﬂ«—»—œ
W * N N,SING,PR «Ì“Ê
W * P P œ—
W * N N,SING,COM ’‰⁄ 
W * DELM DELM -
W * N N,SING,COM,GEN Ã«Ìê«Â
W * ADJ ADJ,SIM,GEN „ÿ·Ê»
W * N N,PL,COM,GEN ’‰«Ì⁄
W * ADJ ADJ,SIM ﬂÊçﬂ
W * P P œ—
W * N N,SING,COM,GEN ‰Ÿ«„
W * ADJ ADJ,SIM,GEN ’‰⁄ Ì
W * N N,SING,LOC ﬂ‘Ê—
W * DELM DELM -
W * N N,PL,COM,GEN ‰Ÿ—« 
W * ADJ ADJ,SIM,GEN «ﬁ ’«œÌ
W * N N,SING,SURN,GEN Õ÷— 
W * N N,SING,SURN «„«„
W * N N,SING,PR Œ„Ì‰Ì
W * DELM DELM ª
W * N N,SING,NPR —Â
W * DELM DELM ´
W * DELM DELM -
W * N N,SING,COM,GEN «ﬁ ’«œ
W * N N,SING,LOC,PR «Ì—«‰
W * P P œ—
W * N N,SING,TIME,GEN ”«·
W * N N,SING,NUM 1378
W * DELM DELM -
W * N N,SING,COM,GEN »——”Ì
W * N N,SING,COM,GEN ⁄„·ﬂ—œ
W * N N,PL,COM,GEN »«“«—Â«Ì
W * N N,SING,COM,GEN ”—„«ÌÂ
W * N N,SING,LOC,PR «Ì—«‰
W * CON CON Ê
W * N N,SING,COM ÃÂ«‰
W * P P œ—
W * N N,SING,TIME,INDF ”«·Ì
W * CON CON ﬂÂ
W * V V,PA,SIM,POS,3 ê–‘ 
W * DELM DELM -
