Sub * SUBJ SUBJ !«Ã „«⁄Ì!
W * N N,SING,NUM,INDF ç‰œÌ
W * N N,SING,COM ÅÌ‘
W * N N,SING,COM,INDF Œ»—Ì
W * ADJ ADJ,SIM „»‰Ì
W * P P »—
W * N N,SING,NFL,GEN ¬„œ‰
W * N N,SING,PR ê«»—Ì·
W * N N,SING,PR ê«—”Ì«
W * N N,SING,PR „«—ﬂ“
W * N N,SING,COM,GEN ‰ÊÌ”‰œÂ
W * ADJ ADJ,SIM,GEN „‘ÂÊ—
W * ADJ ADJ,SIM ﬂ·„»Ì«ÌÌ
W * CON CON Ê
W * N N,SING,COM,GEN »—‰œÂ
W * N N,SING,PR,GEN ‰Ê»·
W * ADJ ADJ,SIM,GEN «œ»Ì
W * N N,SING,NUM 1982
W * P P œ—
W * N N,SING,NUM,INDF ÌﬂÌ
W * P P «“
W * N N,PL,COM,GEN —Ê“‰«„Â Â«Ì
W * N N,SING,TIME,GEN ’»Õ
W * N N,SING,LOC,PR  Â—«‰
W * N N,SING,COM œ—Ã
W * ADJ ADJ,INO ‘œÂ
W * V V,PA,SIM,POS,3 »Êœ
W * DELM DELM :
W * N N,SING,PR „«—ﬂ“
W * P P «“
W * N N,SING,COM,GEN ”ÊÌ
W * N N,PL,COM,GEN «‰ ‘«—« 
W * N N,SING,PR ‘Ì—Ì‰
W * P P »Â
W * N N,SING,LOC,PR «Ì—«‰
W * N N,SING,COM œ⁄Ê 
W * ADJ ADJ,INO ‘œÂ
W * V V,PRE,SIM «” 
W * DELM DELM .
W * P P œ—
W * DET DET «Ì‰
W * N N,SING,COM Œ’Ê’
W * N N,SING,PR,GEN ‘«Â—Œ
W * N N,SING,PR ›—“«œ
W * P P »Â
W * N N,SING,COM,GEN Œ»—‰ê«—
W * N N,SING,COM,GEN —Ê“‰«„Â
W * N N,SING,COM,GEN »Ì«‰
W * ADJ ADJ,INO ê› Â
W * V V,PRE,SIM «” 
W * DELM DELM :
W * N N,SING,COM,GEN „Ì“»«‰
W * N N,SING,PR „«—ﬂ“
W * DELM DELM °
W * N N,PL,COM,GEN «‰ ‘«—« 
W * N N,SING,PR ‘Ì—Ì‰
W * V V,AUX,FEA,POS,3 ŒÊ«Âœ
W * V V,PA,SIM,POS,3 »Êœ
W * DELM DELM °
W * DET DET «Ì‰
W * N N,SING,COM œ⁄Ê 
W * P P »«
W * N N,SING,COM,GEN Â„ﬂ«—Ì
W * N N,SING,COM,GEN ”›«— 
W * N N,SING,LOC,PR ﬂ·„»Ì«
W * P P œ—
W * N N,SING,LOC,PR «Ì—«‰
W * DELM DELM °
W * N N,SING,COM,GEN Ê“«— 
W * N N,SING,COM ›—Â‰ê
W * CON CON Ê
W * N N,SING,COM,GEN «—‘«œ
W * ADJ ADJ,SIM «”·«„Ì
W * CON CON Ê
W * N N,SING,COM,GEN œ› —
W * ADJ ADJ,SIM,GEN „—ﬂ“Ì
W * N N,SING,LOC,GEN ‘Â—
