Sub * SUBJ SUBJ !Å“‘ﬂÌ!
W * N N,SING,COM,GEN é‰
W * N N,SING,COM ç«ﬁÌ
W * ADV ADV,GENR,SIM »«·«Œ—Â
W * N N,SING,COM ﬂ‘›
W * V V,PA,SIM,POS,3 ‘œ
W * DET DET «Ì‰
W * N N,SING,COM,INDF „ÿ·»Ì
W * V V,PRE,SIM «” 
W * CON CON ﬂÂ
W * ADV ADV,GENR,TIME »Â  «“êÌ
W * P P œ—
W * N N,PL,COM —Ê“‰«„Â Â«
W * N N,SING,COM ⁄‰Ê«‰
W * V V,PRS,POS,3 „Ì ‘Êœ
W * DELM DELM .
W * CON CON œ—Ê«ﬁ⁄
W * DELM DELM °
W * N N,PL,COM,GEN ¬“„«Ì‘Â«Ì
W * N N,SING,COM «‰Ã«„
W * MORP MORP,MADJ ‘œÂ
W * P P »—
W * N N,SING,COM,GEN —ÊÌ
W * N N,PL,COM „Ê‘Â«
W * ADJ ADJ,SIM ¬‘ﬂ«—
W * V V,PA,SIM,POS,3 ”«Œ 
W * CON CON ﬂÂ
W * ADJ ADJ,SUP ç«ﬁ —Ì‰
W * PRO PRO,DEMO,PL ¬‰Â«
W * N N,SING,COM,INDF ‰Ê⁄Ì
W * N N,SING,COM,GEN »Ì ‰Ÿ„Ì
W * ADJ ADJ,SIM,INDF Ê«ÕœÌ
W * RA RA —«
W * P P œ—
W * N N,SING,NUM,INDF ÌﬂÌ
W * P P «“
W * N N,PL,COM,AFF,6 é‰Â«Ì‘«‰
W * ADJ ADJ,SIM ‰„«Ì«‰
W * V V,PRS,POS,6 „Ì ”«“‰œ
W * CON CON Ê·Ì
W * N N,SING,COM «‰”«‰
W * N N,SING,COM,INDF „ÊÃÊœÌ
W * V V,PRE,SIM «” 
W * P P »Â
W * N N,PL,COM „—« »
W * ADJ ADJ,CMPR ÅÌçÌœÂ  —
W * P P «“
W * N N,SING,NUM Ìﬂ
W * N N,SING,COM „Ê‘
W * DELM DELM .
W * CON CON »«ÊÃÊœ«Ì‰
W * DELM DELM °
W * N N,SING,COM,GEN ﬂ‘›
W * N N,SING,COM,GEN „Ê—œ
W * N N,SING,COM ‰Ÿ—
W * DELM DELM °
W * N N,SING,COM,GEN «„ﬂ«‰
W * N N,SING,COM,GEN ÅÌ‘»—œ
W * DET DET «Ì‰
W * N N,SING,COM ⁄ﬁÌœÂ
W * RA RA —«
W * ADJ ADJ,SIM „ÂÌ«
W * V V,PRS,POS,3 „Ì ”«“œ
W * CON CON ﬂÂ
W * N N,PL,COM,GEN ⁄Ê«„·
W * ADJ ADJ,SIM,GEN „ ⁄œœ
W * ADJ ADJ,SIM é‰ ÌﬂÌ
W * CON CON Ê
W * CON CON,DCOR ‰Â  ‰Â«
W * N N,SING,NUM Ìﬂ
W * N N,SING,COM é‰
W * P P œ—
W * N N,SING,COM,GEN  ‰ŸÌ„
W * N N,SING,COM «‘ Â«
W * CON CON Ê
W * N N,SING,COM,GEN «“œÌ«œ
W * N N,SING,COM Ê“‰
W * N N,SING,COM œŒ«· 
W * ADJ ADJ,INO œ«‘ Â
W * V V,SUB,POS,6 »«‘‰œ
W * DELM DELM .
W * ADV ADV,GENR,TIME «ŒÌ—«"
W * N N,SING,NUM Ìﬂ
W * N N,SING,COM,GEN  ÕﬁÌﬁ
W * ADJ ADJ,SIM ¬„«—Ì
W * P P œ—
W * N N,SING,LOC,PR ¬„—Ìﬂ«
W * DELM DELM °
W * N N,SING,COM,GEN „Ì“«‰
W * N N,PL,COM,GEN Œÿ—« 
W * DET DET «Ì‰
W * N N,SING,COM,GEN „Ì—«À
W * ADJ ADJ,SIM é‰ ÌﬂÌ
W * RA RA —«
W * ADJ ADJ,SIM „‘Œ’
W * ADJ ADJ,INO ﬂ—œÂ
W * V V,PRE,SIM «” 
W * N N,SING,COM,INDF “„«‰Ì
W * CON CON ﬂÂ
W * N N,SING,COM Åœ—
W * CON CON Ê
W * N N,SING,COM „«œ—
W * QUA QUA Â—
W * N N,SING,NUM œÊ
W * N N,SING,COM,GEN Ê“‰
W * ADJ ADJ,SIM ÿ»Ì⁄Ì
W * ADJ ADJ,INO œ«‘ Â
W * V V,SUB,POS,6 »«‘‰œ
W * DELM DELM °
W * P P,GEN »—«Ì
W * N N,SING,COM,AFF,6 ›—“‰œ‘«‰
W * ADV ADV,GENR,SIM  ‰Â«
W * N N,SING,NUM 12
W * MS MS %
W * N N,SING,COM,GEN «Õ „«·
W * N N,SING,COM ç«ﬁÌ
W * N N,SING,COM ÊÃÊœ
W * V V,PRS,POS,3 œ«—œ
W * ADV ADV,GENR,SIM Õ Ì
W * IF IF «ê—
W * N N,SING,NUM,INDF ÌﬂÌ
W * P P «“
W * N N,SING,COM Åœ—
W * CON CON Ì«
W * N N,SING,COM „«œ—
W * ADJ ADJ,SIM ç«ﬁ
W * V V,SUB,POS,6 »«‘‰œ
W * DELM DELM °
W * N N,SING,COM ÅÌ‘
W * P P «“
W * N N,SING,NUM ”Ì
W * MORP MORP,MN,SING,AFF,3 ”«·êÌ «‘
W * DET DET «Ì‰
W * N N,SING,COM «Õ „«·
W * N N,SING,NUM 40
W * MS MS %
W * ADV ADV,GENR,CMPR ›—« —
W * V V,PRS,POS,3 „Ì —Êœ
W * CON CON Ê
W * N N,SING,COM,INDF “„«‰Ì
W * CON CON ﬂÂ
W * N N,SING,NUM,INDF ÌﬂÌ
W * P P «“
W * N N,PL,COM Ê«·œÌ‰
W * ADV ADV,deg,SIM »”Ì«—
W * ADJ ADJ,SIM ç«ﬁ
W * V V,SUB,POS,3 »«‘œ
W * P P  «
W * N N,SING,NUM 08
W * MS MS %
W * DELM DELM °
W * ADJ ADJ,CMPR »«·« —
W * V V,PRS,POS,3 „Ì —Êœ
W * DELM DELM .
W * N N,SING,COM,GEN  ÕﬁÌﬁ
W * ADJ ADJ,SIM,INDF œÌê—Ì
W * DELM DELM °
W * P P »—
W * N N,SING,COM,GEN —ÊÌ
W * N N,PL,COM,INDF ﬂÊœﬂ«‰Ì
W * CON CON ﬂÂ
W * P P »Â
W * N N,SING,COM ›—“‰œŒÊ«‰œêÌ
W * ADJ ADJ,INO Å–Ì—› Â
W * V V,PA,NAR,POS,6 ‘œÂ «‰œ
W * DELM DELM °
W * ADJ ADJ,SIM ‰„«Ì«‰
W * V V,PRS,POS,3 „Ì ”«“œ
W * CON CON ﬂÂ
W * N N,SING,COM,GEN ‰ÕÊÂ
W * N N,SING,COM “‰œêÌ
W * N N,SING,COM Åœ—
W * CON CON Ì«
W * N N,PL,COM,AFF,6 „«œ—ŒÊ«‰œê«‰‘«‰
W * QUA QUA Â—
W * N N,SING,COM ÿÊ—
W * CON CON ﬂÂ
W * V V,SUB,POS,3 »«‘œ
W * DELM DELM °
W * N N,SING,COM,GEN Ê“‰
W * DET DET «Ì‰
W * N N,PL,COM ﬂÊœﬂ«‰
W * P P œ—
W * N N,SING,COM,GEN ”‰
W * N N,SING,COM »·Ê€
W * ADJ ADJ,SIM ‰“œÌﬂ
W * P P »Â
W * N N,PL,COM,GEN Ê«·œÌ‰
W * N N,SING,COM,AFF,6 »ÌÊ·ÊéÌﬂ‘«‰
W * V V,AUX,FEA,POS,3 ŒÊ«Âœ
W * V V,PA,SIM,POS,3 »Êœ
W * DELM DELM .
W * P P »Â
W * N N,SING,COM,GEN „‰ŸÊ—
W * N N,SING,COM «ﬁœ«„
W * P P œ—
W * N N,SING,COM,GEN ÃÂ 
W * N N,SING,COM,GEN „Â«—
W * ADJ ADJ,CMPR,GEN »Â —
W * DET DET «Ì‰
W * N N,PL,COM,GEN «” ⁄œ«œÂ«Ì
W * ADJ ADJ,SIM,GEN –« Ì
W * ADJ ADJ,SIM é‰ ÌﬂÌ
W * DELM DELM °
W * N N,SING,COM,GEN «‰” Ì Ê
W * N N,SING,PR,GEN Å«” Ê—
W * N N,SING,LOC,GEN ‘Â—
W * N N,SING,LOC,PR,GEN ·Ì·
W * N N,SING,LOC,PR ›—«‰”Â
W * DELM DELM °
W * N N,SING,COM,INDF  ÕﬁÌﬁÌ
W * RA RA —«
W * P P »—
W * N N,SING,COM,GEN —ÊÌ
W * N N,SING,NUM 200
W * N N,SING,GR,GEN Œ«‰Ê«œÂ
W * ADJ ADJ,SIM œÊ›—“‰œÌ
W * CON CON ﬂÂ
W * ADV ADV,deg,SIM œ”  ﬂ„
W * N N,SING,NUM,INDF ÌﬂÌ
W * P P «“
W * PRO PRO,personal,PL,3 ¬‰«‰
W * ADJ ADJ,SIM «÷«›Â
W * N N,SING,COM Ê“‰
W * ADJ ADJ,INO œ«‘ Â
W * V V,SUB,POS,3 »«‘œ
W * DELM DELM °
W * P P »Â
W * N N,SING,COM ⁄„·
W * ADJ ADJ,INO ¬Ê—œÂ
W * V V,PRE,SIM «” 
W * DELM DELM .
W * P P »«
W * N N,SING,COM,GEN »——”Ì
W * N N,PL,COM,AFF,6 „‘«Âœ« ‘«‰
W * DELM DELM °
W * N N,PL,COM ÅéÊÂ‘ê—«‰
W * V V,PRE,ADJC,6 «„ÌœÊ«—‰œ
W * P P œ—
W * N N,SING,COM ¬Ì‰œÂ
W * V V,SUB,POS,6 » Ê«‰‰œ
W * N N,PL,COM,GEN é‰Â«Ì
