Sub * SUBJ SUBJ !«ﬁ ’«œÌ!
W * N N,SING,LOC,PR ”∆Ê·
W * DELM DELM ‹
W * N N,SING,NPR «Ì—‰«
W * N N,SING,COM,GEN Ã„ÂÊ—Ì
W * ADJ ADJ,SIM,GEN «”·«„Ì
W * N N,SING,LOC,PR «Ì—«‰
W * CON CON Ê
W * N N,SING,LOC,PR,GEN ﬂ—Â
W * ADJ ADJ,SIM Ã‰Ê»Ì
W * P P,GEN »—«Ì
W * N N,SING,COM,GEN  ﬁÊÌ 
W * N N,PL,COM,GEN Â„ﬂ«—ÌÂ«Ì
W * ADJ ADJ,SIM,GEN «ﬁ ’«œÌ
W * ADJ ADJ,SIM œÊÃ«‰»Â
W * N N,SING,COM «ﬁœ«„
W * P P »Â
W * N N,SING,COM,GEN «„÷«Ì
W * N N,SING,NUM Ìﬂ
W * N N,SING,COM,GEN „Ê«›ﬁ ‰«„Â
W * ADJ ADJ,SIM ê„—ﬂÌ
W * V V,PA,SIM,POS,6 ﬂ—œ‰œ
W * DELM DELM .
W * N N,PL,COM,GEN —∆Ì”«‰
W * N N,SING,COM,GEN ê„—ﬂ
W * N N,SING,LOC,PR «Ì—«‰
W * CON CON Ê
W * N N,SING,LOC,PR,GEN ﬂ—Â
W * ADJ ADJ,SIM Ã‰Ê»Ì
W * CON CON ﬂÂ
W * N N,SING,TIME,GEN —Ê“
W * N N,SING,DAY œÊ‘‰»Â
W * P P œ—
W * N N,SING,LOC,PR ”∆Ê·
W * DET DET «Ì‰
W * N N,SING,COM „Ê«›ﬁ ‰«„Â
W * RA RA —«
W * N N,SING,COM «„÷«¡
W * V V,PA,SIM,POS,6 ﬂ—œ‰œ
W * DELM DELM °
W * P P œ—
W * N N,SING,COM,GEN „Ê—œ
W * N N,SING,COM,GEN  »«œ·
W * N N,PL,COM «ÿ·«⁄« 
W * DELM DELM °
W * N N,SING,COM,GEN  €ÌÌ—
W * N N,SING,COM ”«Œ «—
W * CON CON Ê
W * N N,SING,COM,GEN «ÌÃ«œ
W * N N,PL,COM,GEN —Ê‘Â«Ì
W * ADJ ADJ,SIM,GEN ‰ÊÌ‰
W * ADJ ADJ,SIM ê„—ﬂÌ
W * N N,SING,COM,GEN „Ì«‰
W * N N,SING,NUM œÊ
W * N N,SING,LOC ﬂ‘Ê—
W * CON CON ‰Ì“
W * P P »Â
W * N N,SING,COM  Ê«›ﬁ
W * V V,PA,SIM,POS,6 —”Ìœ‰œ
W * DELM DELM .
W * N N,SING,PR,GEN „ÂœÌ
W * N N,SING,PR ﬂ—»«”Ì«‰
W * DELM DELM °
W * N N,SING,COM,GEN —∆Ì”
W * N N,SING,COM,GEN ﬂ·
W * N N,SING,COM,GEN ê„—ﬂ
W * N N,SING,LOC,PR «Ì—«‰
W * DELM DELM °
W * P P,GEN »—«Ì
W * N N,SING,COM ‘—ﬂ 
W * P P œ—
W * ADJ ADJ,ORD ”Ê„Ì‰
W * N N,SING,COM,GEN ‰‘” 
W * N N,PL,COM,GEN Â„ﬂ«—ÌÂ«Ì
W * ADJ ADJ,SIM,GEN ê„—ﬂÌ
W * N N,SING,LOC,PR «Ì—«‰
W * CON CON Ê
W * N N,SING,LOC,PR,GEN ﬂ—Â
W * ADJ ADJ,SIM Ã‰Ê»Ì
W * P P œ—
W * N N,SING,LOC,PR ”∆Ê·
W * P P »Â
W * N N,SING,COM ”—
W * V V,PRS,POS,3 „Ì »—œ
W * DELM DELM .
Sub * SUBJ SUBJ !ﬁ÷«ÌÌ!
W * N N,SING,LOC,PR  Â—«‰
W * DELM DELM ‹
W * N N,SING,NPR «Ì—‰«
W * DELM DELM :
W * N N,SING,COM,GEN ‘⁄»Â
W * ADJ ADJ,ORD,GEN ”Ê„
W * N N,SING,COM,GEN œ«œê«Â
W * N N,SING,COM,GEN «‰ﬁ·«»
W * ADJ ADJ,SIM,GEN «”·«„Ì
W * N N,SING,LOC,PR  Â—«‰
W * N N,SING,TIME,GEN —Ê“
W * N N,SING,DAY œÊ‘‰»Â
W * N N,SING,COM,GEN ﬁ—«—
W * N N,SING,COM,GEN »«“œ«‘ 
W * ADJ ADJ,SIM,GEN „Êﬁ 
W * N N,SING,PR,GEN ⁄“  «··Â
